,NIS3,DATE,CASES,name,NIS5,POP,CASES_PER_1000HABITANT
8252,45,2020-03-13,2,Audenarde,45000,124342,0.02
3215,31,2020-03-13,8,Bruges,31000,282209,0.03
1381,21,2020-03-13,27,Bruxelles-Capitale,21000,1208542,0.02
9504,52,2020-03-13,11,Charleroi,52000,396639,0.03
4450,34,2020-03-13,1,Courtrai,34000,290706,0.0
16943,91,2020-03-13,4,Dinant,91000,111008,0.04
7422,43,2020-03-13,1,Eeklo,43000,85235,0.01
6184,38,2020-03-13,1,Furnes,38000,61657,0.02
7802,44,2020-03-13,8,Gand,44000,560522,0.01
1845,23,2020-03-13,13,Hal-Vilvorde,23000,637441,0.02
13767,71,2020-03-13,17,Hasselt,71000,418496,0.04
12072,61,2020-03-13,2,Huy,61000,113409,0.02
11646,58,2020-03-13,2,La Louvière,58000,141060,0.01
12478,62,2020-03-13,13,Liège,62000,624422,0.02
2306,24,2020-03-13,12,Louvain,24000,508734,0.02
14227,72,2020-03-13,3,Maaseik,72000,251589,0.01
475,12,2020-03-13,7,Malines,12000,344818,0.02
15861,83,2020-03-13,1,Marche-en-Famenne,83000,56476,0.02
9949,53,2020-03-13,23,Mons,53000,258999,0.09
17347,92,2020-03-13,1,Namur,92000,316962,0.0
16239,84,2020-03-13,1,Neufchâteau,84000,63375,0.02
2760,25,2020-03-13,8,Nivelles,25000,403599,0.02
4895,35,2020-03-13,4,Ostende,35000,157200,0.03
5337,36,2020-03-13,3,Roulers,36000,153315,0.02
8663,46,2020-03-13,3,Saint-Nicolas,46000,252523,0.01
6988,42,2020-03-13,4,Termonde,42000,201213,0.02
10800,56,2020-03-13,1,Thuin,56000,91678,0.01
5779,37,2020-03-13,1,Tielt,37000,92905,0.01
14676,73,2020-03-13,4,Tongres,73000,203963,0.02
11199,57,2020-03-13,4,Tournai,57000,223417,0.02
921,13,2020-03-13,7,Turnhout,13000,461867,0.02
12936,63,2020-03-13,7,Verviers,63000,287772,0.02
16601,85,2020-03-13,1,Virton,85000,53751,0.02
13372,64,2020-03-13,1,Waremme,64000,81389,0.01
4036,33,2020-03-13,2,Ypres,33000,106279,0.02
6551,41,2020-03-14,4,Alost,41000,291229,0.01
12,11,2020-03-14,10,Anvers,11000,1051301,0.01
15118,81,2020-03-14,1,Arlon,81000,62623,0.02
9108,51,2020-03-14,2,Ath,51000,127915,0.02
3216,31,2020-03-14,4,Bruges,31000,282209,0.01
1382,21,2020-03-14,17,Bruxelles-Capitale,21000,1208542,0.01
9505,52,2020-03-14,4,Charleroi,52000,396639,0.01
4451,34,2020-03-14,3,Courtrai,34000,290706,0.01
3654,32,2020-03-14,2,Dixmude,32000,51525,0.04
7803,44,2020-03-14,3,Gand,44000,560522,0.01
1846,23,2020-03-14,3,Hal-Vilvorde,23000,637441,0.0
13768,71,2020-03-14,3,Hasselt,71000,418496,0.01
11647,58,2020-03-14,1,La Louvière,58000,141060,0.01
12479,62,2020-03-14,12,Liège,62000,624422,0.02
2307,24,2020-03-14,6,Louvain,24000,508734,0.01
14228,72,2020-03-14,3,Maaseik,72000,251589,0.01
476,12,2020-03-14,4,Malines,12000,344818,0.01
9950,53,2020-03-14,16,Mons,53000,258999,0.06
17348,92,2020-03-14,2,Namur,92000,316962,0.01
2761,25,2020-03-14,4,Nivelles,25000,403599,0.01
4896,35,2020-03-14,2,Ostende,35000,157200,0.01
17779,93,2020-03-14,1,Philippeville,93000,66355,0.02
5338,36,2020-03-14,1,Roulers,36000,153315,0.01
8664,46,2020-03-14,2,Saint-Nicolas,46000,252523,0.01
10388,55,2020-03-14,1,Soignies,55000,104533,0.01
6989,42,2020-03-14,2,Termonde,42000,201213,0.01
5780,37,2020-03-14,2,Tielt,37000,92905,0.02
14677,73,2020-03-14,3,Tongres,73000,203963,0.01
11200,57,2020-03-14,2,Tournai,57000,223417,0.01
922,13,2020-03-14,3,Turnhout,13000,461867,0.01
12937,63,2020-03-14,7,Verviers,63000,287772,0.02
4037,33,2020-03-14,1,Ypres,33000,106279,0.01
6552,41,2020-03-15,2,Alost,41000,291229,0.01
13,11,2020-03-15,13,Anvers,11000,1051301,0.01
9109,51,2020-03-15,1,Ath,51000,127915,0.01
15501,82,2020-03-15,1,Bastogne,82000,48413,0.02
3217,31,2020-03-15,1,Bruges,31000,282209,0.0
1383,21,2020-03-15,15,Bruxelles-Capitale,21000,1208542,0.01
9506,52,2020-03-15,5,Charleroi,52000,396639,0.01
4452,34,2020-03-15,4,Courtrai,34000,290706,0.01
3655,32,2020-03-15,1,Dixmude,32000,51525,0.02
7423,43,2020-03-15,1,Eeklo,43000,85235,0.01
6185,38,2020-03-15,1,Furnes,38000,61657,0.02
7804,44,2020-03-15,10,Gand,44000,560522,0.02
1847,23,2020-03-15,12,Hal-Vilvorde,23000,637441,0.02
