,date,Age,Location
455,2019-01-21,86,Genk
456,2019-01-21,79,Rongy
457,2019-01-21,78,MANAGE
458,2019-01-21,89,Berchem
459,2019-01-21,62,Torhout
460,2019-01-20,72,Kortessem
461,2019-01-20,69,Genk
462,2019-01-20,66,Ath
463,2019-01-20,86,Bouvignes-sur-Meuse
464,2019-01-20,82,Bree
465,2019-01-20,53,Hasselt
466,2019-01-20,85,Waremme
467,2019-01-20,70,Overmere
468,2019-01-20,63,Mouscron
469,2019-01-20,76,Lanklaar
470,2019-01-20,83,Beaufays
471,2019-01-20,84,Oostende
472,2019-01-20,98,Tongeren
473,2019-01-20,84,Nieuwerkerken
474,2019-01-20,80,Sint-Truiden
475,2019-01-20,73,Hotton
476,2019-01-20,95,Ronse
477,2019-01-20,75,Zolder
478,2019-01-20,54,Edegem
479,2019-01-20,63,Oudenaarde
480,2019-01-20,82,Peer
481,2019-01-20,88,Oostende
482,2019-01-20,95,Namur
483,2019-01-20,63,-
484,2019-01-20,84,Chercq
485,2019-01-20,92,Zonhoven
486,2019-01-20,60,Deux-Acren
487,2019-01-20,71,Braives
488,2019-01-20,86,Oelegem
489,2019-01-20,68,Lommel
490,2019-01-20,88,Veulen
491,2019-01-20,86,Oud-Turnhout
492,2019-01-20,92,Melle
493,2019-01-20,78,Kortrijk
494,2019-01-20,80,Burdinne
495,2019-01-20,83,Romershoven
496,2019-01-20,64,Fontenoy
497,2019-01-20,94,Neeroeteren
498,2019-01-20,102,
499,2019-01-19,99,Battice
500,2019-01-19,86,Zutendaal
501,2019-01-19,84,Molenbaix
502,2019-01-19,82,Vedrin
503,2019-01-19,90,Lommel
504,2019-01-19,100,Herseaux
505,2019-01-19,89,Tournai
506,2019-01-19,71,Daverdisse
507,2019-01-19,86,Lessines
508,2019-01-19,81,Velm
509,2019-01-19,83,Namur
510,2019-01-19,55,Quevaucamps
511,2019-01-19,81,Schilde
512,2019-01-19,93,Nandrin
513,2019-01-19,64,-
514,2019-01-19,92,Wellen
515,2019-01-19,86,-
516,2019-01-19,88,Zandhoven
517,2019-01-19,81,Bree
518,2019-01-19,70,Desselgem
519,2019-01-19,90,Antwerpen
520,2019-01-19,79,Bierges
521,2019-01-19,81,Zelem
522,2019-01-19,69,Bastogne
523,2019-01-19,85,Genk
524,2019-01-19,70,-
525,2019-01-19,96,Hasselt
526,2019-01-19,94,Celles
527,2019-01-19,91,Ciney
528,2019-01-19,87,Herk-de-Stad
529,2019-01-19,103,-
530,2019-01-19,81,Overpelt
531,2019-01-19,95,Saint-Servais
532,2019-01-19,92,Bilzen
533,2019-01-19,84,Hasselt
534,2019-01-19,86,Eksel
535,2019-01-19,84,Opoeteren
536,2019-01-19,64,Mouscron
537,2019-01-19,68,Rumillies
538,2019-01-19,91,Maffe
539,2019-01-18,89,-
540,2019-01-18,57,Nijlen
541,2019-01-18,86,Pipaix
542,2019-01-18,73,Lommel
543,2019-01-18,88,Naninne
544,2019-01-18,89,Borgloon
545,2019-01-18,85,Blandain
546,2019-01-18,53,Heestert
547,2019-01-18,92,Wellen
548,2019-01-18,83,Zutendaal
549,2019-01-18,88,Peer
550,2019-01-18,88,Profondeville
551,2019-01-18,93,Eksel
552,2019-01-18,68,Oteppe
553,2019-01-18,85,Seilles
554,2019-01-18,90,Bertogne
555,2019-01-18,68,
556,2019-01-18,42,-
557,2019-01-18,69,Tournai
558,2019-01-18,51,Zutendaal
559,2019-01-18,87,Bree
560,2019-01-18,98,Neufchâteau
561,2019-01-18,87,Profondeville
562,2019-01-18,88,Tongeren
563,2019-01-18,82,Mouscron
564,2019-01-18,87,Namur
565,2019-01-18,84,Heusden-Zolder
566,2019-01-18,67,-
567,2019-01-18,82,Wellen
568,2019-01-18,91,Zonhoven
569,2019-01-18,67,Molenbeek-Saint-Jean
570,2019-01-18,92,Sint-Truiden
571,2019-01-18,67,Hasselt
572,2019-01-18,56,Opoeteren
573,2019-01-18,65,Ronse
574,2019-01-18,58,Beveren
575,2019-01-18,72,Genk
576,2019-01-18,80,Nieuwerkerken
577,2019-01-18,83,Néchin
578,2019-01-18,79,Maaseik
579,2019-01-18,88,Eupen
580,2019-01-17,87,Florennes
581,2019-01-17,63,Neeroeteren
582,2019-01-17,80,Zoutleeuw
583,2019-01-17,91,Wingene
584,2019-01-17,89,Beerse
585,2019-01-17,93,La Roche-en-Ardenne
586,2019-01-17,75,Jambes
587,2019-01-17,85,Kortrijk
588,2019-01-17,82,Itterbeek
589,2019-01-17,76,Oelegem
