Jaar week,AgeGroup,Hospitalisations
11 jan. 2021 t/m 17 jan. 2021 (Week 2),40–59,0.16
11 jan. 2021 t/m 17 jan. 2021 (Week 2),20–39,0.069
18 jan. 2021 t/m 24 jan. 2021 (Week 3),40–59,0.16
18 jan. 2021 t/m 24 jan. 2021 (Week 3),20–39,0.067
18 jan. 2021 t/m 24 jan. 2021 (Week 3),60–79,0.355
18 jan. 2021 t/m 24 jan. 2021 (Week 3),06–19,0.005
18 jan. 2021 t/m 24 jan. 2021 (Week 3),80–++,0.4
18 jan. 2021 t/m 24 jan. 2021 (Week 3),00–05,0.013
25 jan. 2021 t/m 31 jan. 2021 (Week 4),06–19,0.015
25 jan. 2021 t/m 31 jan. 2021 (Week 4),00–05,0.019
25 jan. 2021 t/m 31 jan. 2021 (Week 4),20–39,0.071
25 jan. 2021 t/m 31 jan. 2021 (Week 4),80–++,0.392
25 jan. 2021 t/m 31 jan. 2021 (Week 4),60–79,0.334
25 jan. 2021 t/m 31 jan. 2021 (Week 4),40–59,0.169
1 feb. 2021 t/m 7 feb. 2021 (Week 5),00–05,0.007
1 feb. 2021 t/m 7 feb. 2021 (Week 5),40–59,0.161
1 feb. 2021 t/m 7 feb. 2021 (Week 5),20–39,0.088
1 feb. 2021 t/m 7 feb. 2021 (Week 5),06–19,0.017
1 feb. 2021 t/m 7 feb. 2021 (Week 5),80–++,0.354
1 feb. 2021 t/m 7 feb. 2021 (Week 5),60–79,0.373
8 feb. 2021 t/m 14 feb. 2021 (Week 6),00–05,0.007
8 feb. 2021 t/m 14 feb. 2021 (Week 6),80–++,0.312
8 feb. 2021 t/m 14 feb. 2021 (Week 6),60–79,0.369
8 feb. 2021 t/m 14 feb. 2021 (Week 6),40–59,0.207
8 feb. 2021 t/m 14 feb. 2021 (Week 6),20–39,0.091
8 feb. 2021 t/m 14 feb. 2021 (Week 6),06–19,0.013
15 feb. 2021 t/m 21 feb. 2021 (Week 7),20–39,0.076
15 feb. 2021 t/m 21 feb. 2021 (Week 7),60–79,0.363
15 feb. 2021 t/m 21 feb. 2021 (Week 7),06–19,0.007
15 feb. 2021 t/m 21 feb. 2021 (Week 7),40–59,0.214
15 feb. 2021 t/m 21 feb. 2021 (Week 7),80–++,0.325
15 feb. 2021 t/m 21 feb. 2021 (Week 7),00–05,0.015
22 feb. 2021 t/m 28 feb. 2021 (Week 8),00–05,0.014
22 feb. 2021 t/m 28 feb. 2021 (Week 8),20–39,0.077
22 feb. 2021 t/m 28 feb. 2021 (Week 8),06–19,0.005
22 feb. 2021 t/m 28 feb. 2021 (Week 8),80–++,0.256
22 feb. 2021 t/m 28 feb. 2021 (Week 8),60–79,0.394
22 feb. 2021 t/m 28 feb. 2021 (Week 8),40–59,0.255
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),00–05,0.016
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),80–++,0.266
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),60–79,0.4
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),40–59,0.239
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),20–39,0.071
1 mrt. 2021 t/m 7 mrt. 2021 (Week 9),06–19,0.008
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),06–19,0.011
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),00–05,0.019
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),80–++,0.276
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),60–79,0.399
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),40–59,0.228
8 mrt. 2021 t/m 14 mrt. 2021 (Week 10),20–39,0.066
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),40–59,0.284
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),20–39,0.088
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),60–79,0.379
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),06–19,0.01
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),80–++,0.228
15 mrt. 2021 t/m 21 mrt. 2021 (Week 11),00–05,0.01
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),06–19,0.008
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),00–05,0.011
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),20–39,0.102
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),80–++,0.217
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),40–59,0.282
22 mrt. 2021 t/m 28 mrt. 2021 (Week 12),60–79,0.38
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),00–05,0.01
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),40–59,0.286
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),20–39,0.084
29 mrt. 2021 t/m 4 apr. 2021 (Week 13),06–19,0.009
