INS,FR_INS,NL_INS,INS6,FR_INS6,NL_INS6,
13046,Vosselaar,Vosselaar,13046A,VOSSELAAR*,VOSSELAAR*,
13049,Westerlo,Westerlo,13049A,WESTERLO,WESTERLO,
13049,Westerlo,Westerlo,13049B,TONGERLO,TONGERLO,
13049,Westerlo,Westerlo,13049C,ZOERLE-PARWIJS,ZOERLE-PARWIJS,
13049,Westerlo,Westerlo,13049D,OEVEL*,OEVEL*,
13053,Laakdal,Laakdal,13053A,VEERLE,VEERLE,
13053,Laakdal,Laakdal,13053B,VARENDONK,VARENDONK,
13053,Laakdal,Laakdal,13053C,EINDHOUT,EINDHOUT,
13053,Laakdal,Laakdal,13053D,VORST,VORST,
21001,Anderlecht,Anderlecht,21001A,ANDERLECHT-CENTRUM,ANDERLECHT-CENTRE,
21001,Anderlecht,Anderlecht,21001B,ANDERLECHT-KANAAL-SPOOR OOST,ANDERLECHT-CANAL-CHEM.FER EST,
21001,Anderlecht,Anderlecht,21001C,ANDERLECHT-RING WEST,ANDERLECHT-RING OUEST,
21002,Oudergem,Auderghem,21002A,OUDERGEM,AUDERGHEM,
21003,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,21003A,SINT-AGATHA-BERCHEM,BERCHEM-SAINTE-AGATHE,
21004,Brussel,Bruxelles,21004A,BRUSSEL PENTAGOON,BRUXELLES PENTAGONE,
21004,Brussel,Bruxelles,21004B,BRUSSEL-WETSTRAAT,BRUXELLES-RUE DE LA LOI,
21004,Brussel,Bruxelles,21004C,BRUSSEL-LOUISA,BRUXELLES-LOUISE,
21004,Brussel,Bruxelles,21004D,BRUSSEL-ANTWERPSE STWG,BRUXELLES-CHAUSSEE D'ANVERS,
21004,Brussel,Bruxelles,21004E,BRUSSEL-LAKEN,BRUXELLES-LAEKEN,
21004,Brussel,Bruxelles,21004F,BRUSSEL-NEDER-OVERHEEMBEEK,BRUXELLES-NEDER-OVERHEEMBEEK,
21004,Brussel,Bruxelles,21004G,BRUSSEL-HAREN,BRUXELLES-HAREN,
21005,Etterbeek,Etterbeek,21005A,ETTERBEEK,ETTERBEEK,
21006,Evere,Evere,21006A,EVERE,EVERE,
21007,Vorst,Forest,21007A,VORST,FOREST,
21008,Ganshoren,Ganshoren,21008A,GANSHOREN,GANSHOREN,
21009,Elsene,Ixelles,21009A,ELSENE,IXELLES,
21010,Jette,Jette,21010A,JETTE,JETTE,
21011,Koekelberg,Koekelberg,21011A,KOEKELBERG,KOEKELBERG,
21012,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,21012A,SINT-JANS-MOLENBEEK,MOLENBEEK-SAINT-JEAN,
21013,Sint-Gillis,Saint-Gilles,21013A,SINT-GILLIS,SAINT-GILLES,
21014,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,21014A,SINT-JOOST-TEN-NODE,SAINT-JOSSE-TEN-NOODE,
21015,Schaarbeek,Schaerbeek,21015A,SCHAARBEEK,SCHAERBEEK,
21016,Ukkel,Uccle,21016A,UKKEL,UCCLE,
21017,Watermaal-Bosvoorde,Watermael-Boitsfort,21017A,WATERMAAL-BOSVOORDE,WATERMAEL-BOITSFORT,
21018,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,21018A,SINT-LAMBRECHTS-WOLUWE,WOLUWE-SAINT-LAMBERT,
21019,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,21019A,SINT-PIETERS-WOLUWE,WOLUWE-SAINT-PIERRE,
23002,Asse,Asse,23002A,ASSE,ASSE,
23002,Asse,Asse,23002B,MOLLEM,MOLLEM,
23002,Asse,Asse,23002C,KOBBEGEM,KOBBEGEM,
23002,Asse,Asse,23002D,RELEGEM,RELEGEM,
23002,Asse,Asse,23002E,ZELLIK,ZELLIK,
23002,Asse,Asse,23002F,BEKKERZEEL,BEKKERZEEL,
23003,Beersel,Beersel,23003A,BEERSEL,BEERSEL,
23003,Beersel,Beersel,23003B,ALSEMBERG,ALSEMBERG,
23003,Beersel,Beersel,23003C,DWORP,DWORP,
23003,Beersel,Beersel,23003D,HUIZINGEN,HUIZINGEN,
23003,Beersel,Beersel,23003E,LOT,LOT,
23009,Bever,Biévène,23009A,BEVER,BEVER,
23016,Dilbeek,Dilbeek,23016A,DILBEEK,DILBEEK,
23016,Dilbeek,Dilbeek,23016B,SINT ULRIKS - KAPELLE,SINT ULRIKS - KAPELLE,
23016,Dilbeek,Dilbeek,23016C,GROOT - BIJGAARDEN,GROOT - BIJGAARDEN,
23016,Dilbeek,Dilbeek,23016D,ITTERBEEK,ITTERBEEK,
23016,Dilbeek,Dilbeek,23016E,SCHEPDAAL,SCHEPDAAL,
23016,Dilbeek,Dilbeek,23016F,SINT - MARTENS - BODEGEM,SINT - MARTENS - BODEGEM,
23023,Galmaarden,Gammerages,23023A,GALMAARDEN,GALMAARDEN,
23023,Galmaarden,Gammerages,23023B,VOLLEZELE,VOLLEZELE,
23023,Galmaarden,Gammerages,23023C,TOLLEMBEEK,TOLLEMBEEK,
23024,Gooik,Gooik,23024A,GOOIK*,GOOIK*,
23024,Gooik,Gooik,23024B,LEERBEEK,LEERBEEK,
