INS,FR,Langue,NL
52025,Gerpinnes,F,Gerpinnes
52075,Les Bons Villers,F,Les Bons Villers
52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul
52055,Pont-à-celles,F,Pont-à-celles
53000,Arrondissement de Mons,,Arrondissement Bergen
53014,Boussu,F,Boussu
53082,Colfontaine,F,Colfontaine
53020,Dour,F,Dour
53028,Frameries,F,Frameries
53039,Hensies,F,Hensies
53083,Honnelles,F,Honnelles
53044,Jurbise,F,Jurbeke
53046,Lens,F,Lens
53053,Mons,F,Bergen
53065,Quaregnon,F,Quaregnon
53084,Quévy,F,Quévy
53068,Quiévrain,F,Quiévrain
53070,Saint-Ghislain,F,Saint-Ghislain
55000,Arrondissement de Soignies,,Arrondissement Zinnik
55004,Braine-le-Comte,F,'s Gravenbrakel
55050,Ecaussinnes,F,Ecaussinnes
55035,Le Roeulx,F,Le Roeulx
55086,Manage,F,Manage
55085,Seneffe,F,Seneffe
55040,Soignies,F,Zinnik
56000,Arrondissement de Thuin,,Arrondissement Thuin
56001,Anderlues,F,Anderlues
56005,Beaumont,F,Beaumont
56016,Chimay,F,Chimay
56022,Erquelinnes,F,Erquelinnes
56029,Froidchapelle,F,Froidchapelle
56086,Ham-sur-Heure-Nalinnes,F,Ham-sur-Heure-Nalinnes
56044,Lobbes,F,Lobbes
56049,Merbes-le-Château,F,Merbes-le-Château
56051,Momignies,F,Momignies
56088,Sivry-Rance,F,Sivry-Rance
56078,Thuin,F,Thuin
57000,Arrondissement de Tournai-Mouscron,,Arrondissement Doornik-Moeskroen
57003,Antoing,F,Antoing
57093,Brunehaut,F,Brunehaut
57018,Celles,F,Celles
57097,Comines-Warneton,F,Komen-Waasten
57027,Estaimpuis,F,Estaimpuis
57094,Leuze-en-Hainaut,F,Leuze-en-Hainaut
57095,Mont-de-l'Enclus,F,Mont-de-l'Enclus
57096,Mouscron,F,Moeskroen
57062,Pecq,F,Pecq
57064,Péruwelz,F,Péruwelz
57072,Rumes,F,Rumes
57081,Tournai,F,Doornik
58000,Arrondissement de La Louvière,,Arrondissement La Louvière
58001,La Louvière,F,La Louvière
58002,Binche,F,Binche
58003,Estinnes,F,Estinnes
58004,Morlanwelz,F,Morlanwelz
60000,Province de Liège,,Provincie Luik
61000,Arrondissement de Huy,,Arrondissement Hoei
61003,Amay,F,Amay
61079,Anthisnes,F,Anthisnes
61010,Burdinne,F,Burdinne
61012,Clavier,F,Clavier
61080,Engis,F,Engis
61019,Ferrières,F,Ferrières
61024,Hamoir,F,Hamoir
61028,Héron,F,Héron
61031,Huy,F,Hoei
61039,Marchin,F,Marchin
61041,Modave,F,Modave
61043,Nandrin,F,Nandrin
61048,Ouffet,F,Ouffet
61081,Tinlot,F,Tinlot
61063,Verlaine,F,Verlaine
61068,Villers-le-Bouillet,F,Villers-le-Bouillet
61072,Wanze,F,Wanze
62000,Arrondissement de Liège,,Arrondissement Luik
62003,Ans,F,Ans
62006,Awans,F,Awans
62009,Aywaille,F,Aywaille
62011,Bassenge,F,Bitsingen
62015,Beyne-Heusay,F,Beyne-Heusay
62119,Blégny,F,Blégny
62022,Chaudfontaine,F,Chaudfontaine
62026,Comblain-au-Pont,F,Comblain-au-Pont
62027,Dalhem,F,Dalhem
62032,Esneux,F,Esneux
62120,Flémalle,F,Flémalle
62038,Fléron,F,Fléron
62118,Grâce-Hollogne,F,Grâce-Hollogne
62051,Herstal,F,Herstal
62060,Juprelle,F,Juprelle
62063,Liège,F,Luik
62121,Neupré,F,Neupré
62079,Oupeye,F,Oupeye
62093,Saint-Nicolas,F,Saint-Nicolas
62096,Seraing,F,Seraing
62099,Soumagne,F,Soumagne
62100,Sprimont,F,Sprimont
62122,Trooz,F,Trooz
62108,Visé,F,Wezet
63000,Arrondissement de Verviers,,Arrondissement Verviers
63001,Amblève,D,Amel
63003,Aubel,F,Aubel
63004,Baelen,F,Baelen
63012,Bullange,D,Büllingen
63087,Burg-Reuland,D,Burg-Reuland
63013,Butgenbach,D,Bütgenbach
63020,Dison,F,Dison
63023,Eupen,D,Eupen
63035,Herve,F,Herve
63038,Jalhay,F,Jalhay
63040,La Calamine,D,Kelmis
63045,Lierneux,F,Lierneux
63046,Limbourg,F,Limburg
63048,Lontzen,D,Lontzen
63049,Malmedy,F,Malmedy
63057,Olne,F,Olne
63058,Pepinster,F,Pepinster
63088,Plombières,F,Plombières
63061,Raeren,D,Raeren
63067,Saint-Vith,D,Sankt Vith
63072,Spa,F,Spa
63073,Stavelot,F,Stavelot
63075,Stoumont,F,Stoumont
63076,Theux,F,Theux
63089,Thimister-Clermont,F,Thimister-Clermont
63086,Trois-Ponts,F,Trois-Ponts
63079,Verviers,F,Verviers
63080,Waimes,F,Weismes
63084,Welkenraedt,F,Welkenraedt
64000,Arrondissement de Waremme,,Arrondissement Borgworm
64008,Berloz,F,Berloz
64015,Braives,F,Braives
64021,Crisnée,F,Crisnée
64023,Donceel,F,Donceel
64076,Faimes,F,Faimes
64025,Fexhe-le-Haut-Clocher,F,Fexhe-le-Haut-Clocher
64029,Geer,F,Geer
64034,Hannut,F,Hannuit
64047,Lincent,F,Lijsem
64056,Oreye,F,Oerle
64063,Remicourt,F,Remicourt
64065,Saint-Georges-sur-Meuse,F,Saint-Georges-sur-Meuse
64074,Waremme,F,Borgworm
64075,Wasseiges,F,Wasseiges
80000,Province du Luxembourg,,Provincie Luxemburg
81000,Arrondissement d'Arlon,,Arrondissement Aarlen
81001,Arlon,F,Aarlen
81003,Attert,F,Attert
81004,Aubange,F,Aubange
81013,Martelange,F,Martelange
81015,Messancy,F,Messancy
82000,Arrondissement de Bastogne,,Arrondissement Bastenaken
82003,Bastogne,F,Bastenaken
82005,Bertogne,F,Bertogne
82009,Fauvillers,F,Fauvillers
82037,Gouvy,F,Gouvy
82014,Houffalize,F,Houffalize
82038,Sainte-Ode,F,Sainte-Ode
82036,Vaux-sur-Sûre,F,Vaux-sur-Sûre
82032,Vielsalm,F,Vielsalm
83000,Arrondissement de Marche-en-Famenne,,Arrondissement Marche-en-Famenne
83012,Durbuy,F,Durbuy
83013,Erezée,F,Erezée
83028,Hotton,F,Hotton
83031,La Roche-en-Ardenne,F,La Roche-en-Ardenne
83055,Manhay,F,Manhay
83034,Marche-en-Famenne,F,Marche-en-Famenne
83040,Nassogne,F,Nassogne
83044,Rendeux,F,Rendeux
83049,Tenneville,F,Tenneville
84000,Arrondissement de Neufchâteau,,Arrondissement Neufchâteau
84009,Bertrix,F,Bertrix
84010,Bouillon,F,Bouillon
84016,Daverdisse,F,Daverdisse
84029,Herbeumont,F,Herbeumont
84033,Léglise,F,Léglise
84035,Libin,F,Libin
84077,Libramont-Chevigny,F,Libramont-Chevigny
84043,Neufchâteau,F,Neufchâteau
84050,Paliseul,F,Paliseul
84059,Saint-Hubert,F,Saint-Hubert
84068,Tellin,F,Tellin
84075,Wellin,F,Wellin
85000,Arrondissement de Virton,,Arrondissement Virton
85007,Chiny,F,Chiny
85009,Etalle,F,Etalle
