,YEAR_WEEK,NIS5,AGEGROUP,DOSE,CUMUL
414,21W01,21003,55-64,A,23
415,21W01,21003,65-74,A,24
416,21W01,21003,75-84,A,32
417,21W01,21003,85+,A,64
418,21W01,21004,18-34,A,24
419,21W01,21004,35-44,A,17
420,21W01,21004,45-54,A,18
421,21W01,21004,55-64,A,69
422,21W01,21004,65-74,A,95
423,21W01,21004,75-84,A,128
424,21W01,21004,85+,A,271
425,21W01,21005,18-34,A,<10
426,21W01,21005,35-44,A,<10
427,21W01,21005,45-54,A,<10
428,21W01,21005,55-64,A,<10
429,21W01,21005,65-74,A,<10
430,21W01,21005,75-84,A,<10
431,21W01,21005,85+,A,<10
432,21W01,21006,18-34,A,<10
433,21W01,21006,35-44,A,<10
434,21W01,21006,45-54,A,<10
435,21W01,21006,55-64,A,10
436,21W01,21006,65-74,A,15
437,21W01,21006,75-84,A,29
438,21W01,21006,85+,A,92
439,21W01,21007,18-34,A,<10
440,21W01,21007,35-44,A,<10
441,21W01,21007,45-54,A,<10
442,21W01,21007,55-64,A,11
443,21W01,21007,65-74,A,19
444,21W01,21007,75-84,A,40
445,21W01,21007,85+,A,53
446,21W01,21008,35-44,A,<10
447,21W01,21008,45-54,A,<10
448,21W01,21008,55-64,A,17
449,21W01,21008,65-74,A,27
450,21W01,21008,75-84,A,55
451,21W01,21008,85+,A,74
452,21W01,21009,18-34,A,<10
453,21W01,21009,35-44,A,<10
454,21W01,21009,45-54,A,<10
455,21W01,21009,55-64,A,13
456,21W01,21009,65-74,A,34
457,21W01,21009,75-84,A,55
458,21W01,21009,85+,A,147
459,21W01,21010,18-34,A,<10
460,21W01,21010,35-44,A,<10
461,21W01,21010,45-54,A,<10
462,21W01,21010,55-64,A,25
463,21W01,21010,65-74,A,17
464,21W01,21010,75-84,A,70
465,21W01,21010,85+,A,163
466,21W01,21011,18-34,A,<10
467,21W01,21011,35-44,A,<10
468,21W01,21011,45-54,A,<10
469,21W01,21011,55-64,A,<10
470,21W01,21011,65-74,A,<10
471,21W01,21011,75-84,A,10
472,21W01,21011,85+,A,33
473,21W01,21012,18-34,A,<10
474,21W01,21012,35-44,A,<10
475,21W01,21012,45-54,A,13
476,21W01,21012,55-64,A,18
477,21W01,21012,65-74,A,33
478,21W01,21012,75-84,A,45
479,21W01,21012,85+,A,42
480,21W01,21013,18-34,A,<10
481,21W01,21013,35-44,A,<10
482,21W01,21013,45-54,A,<10
483,21W01,21013,55-64,A,10
484,21W01,21013,65-74,A,14
485,21W01,21013,75-84,A,23
486,21W01,21013,85+,A,41
