NIS5,CASES,FR,NL,POP
62099,1297,Soumagne,Soumagne,16925
62100,1283,Sprimont,Sprimont,14712
62108,1256,Vise,Wezet,17812
62118,1540,Grace_Hollogne,Grace_Hollogne,22660
62119,1079,Blegny,Blegny,13292
62120,1796,Flemalle,Flemalle,26304
62121,807,Neupre,Neupre,9923
62122,591,Trooz,Trooz,8199
63001,224,Ambleve,Amel,5474
63003,363,Aubel,Aubel,4288
63004,214,Baelen,Baelen,4454
63012,300,Bullange,Bullingen,5478
63013,501,Butgenbach,Butgenbach,5610
63020,1185,Dison,Dison,15248
63023,486,Eupen,Eupen,19677
63035,1626,Herve,Herve,17609
63038,749,Jalhay,Jalhay,8585
63040,218,La_Calamine,Kelmis,11108
63045,224,Lierneux,Lierneux,3614
63046,413,Limbourg,Limburg,5912
63048,195,Lontzen,Lontzen,5764
63049,849,Malmedy,Malmedy,12741
63057,276,Olne,Olne,4080
63058,816,Pepinster,Pepinster,9772
63061,96,Raeren,Raeren,10759
63067,431,Saint_Vith,Sankt_Vith,9722
63072,782,Spa,Spa,10229
63073,461,Stavelot,Stavelot,7169
63075,204,Stoumont,Stoumont,3167
63076,1009,Theux,Theux,12031
63079,4294,Verviers,Verviers,55207
63080,549,Waimes,Weismes,7425
63084,612,Welkenraedt,Welkenraedt,10002
63086,109,Trois_Ponts,Trois_Ponts,2553
63087,113,Burg_Reuland,Burg_Reuland,3935
63088,672,Plombieres,Plombieres,10459
63089,561,Thimister_Clermont,Thimister_Clermont,5700
64008,149,Berloz,Berloz,3132
64015,299,Braives,Braives,6375
64021,228,Crisnee,Crisnee,3412
64023,177,Donceel,Donceel,3060
64025,189,Fexhe_le_Haut_Clocher,Fexhe_le_Haut_Clocher,3233
64029,192,Geer,Geer,3485
64034,698,Hannut,Hannuit,16571
64047,130,Lincent,Lijsem,3311
64056,199,Oreye,Oerle,3895
64063,364,Remicourt,Remicourt,5906
64065,404,Saint_Georges_sur_Meuse,Saint_Georges_sur_Meuse,6803
64074,773,Waremme,Borgworm,15334
64075,193,Wasseiges,Wasseiges,2937
64076,207,Faimes,Faimes,3935
71002,202,As,As,8202
71004,1087,Beringen,Beringen,46346
71011,371,Diepenbeek,Diepenbeek,19031
71016,1826,Genk,Genk,66227
71017,234,Gingelom,Gingelom,8405
71020,162,Halen,Halen,9427
71022,1479,Hasselt,Hasselt,78296
71024,185,Herck_la_Ville,Herk_de_Stad,12636
71034,273,Bourg_Leopold,Leopoldsburg,15755
71037,196,Lummen,Lummen,14890
71045,169,Nieuwerkerken,Nieuwerkerken,6947
71053,1064,Saint_Trond,Sint_Truiden,40590
71057,252,Tessenderlo,Tessenderlo,18613
71066,401,Zonhoven,Zonhoven,21237
71067,158,Zutendaal,Zutendaal,7289
71069,218,Ham,Ham,10897
71070,965,Heusden_Zolder,Heusden_Zolder,33708
72003,213,Bocholt,Bocholt,13110
72004,304,Bree,Bree,16085
72018,166,Kinrooi,Kinrooi,12174
72020,597,Lommel,Lommel,34079
72021,411,Maaseik,Maaseik,25317
72030,207,Peer,Peer,16357
72037,249,Hamont_Achel,Hamont_Achel,14369
72038,142,Hechtel_Eksel,Hechtel_Eksel,12419
72039,856,Houthalen_Helchteren,Houthalen_Helchteren,30655
72041,391,Dilsen_Stokkem,Dilsen_Stokkem,20590
72042,395,Oudsbergen,Oudsbergen,23532
72043,454,Pelt,Pelt,32902
73001,344,Alken,Alken,11499
73006,631,Bilzen,Bilzen,32328
73009,222,Looz,Borgloon,10906
73022,127,Heers,Heers,7391
73028,4,Herstappe,Herstappe,83
73032,163,Hoeselt,Hoeselt,9688
73040,120,Kortessem,Kortessem,8442
73042,514,Lanaken,Lanaken,25841
73066,392,Riemst,Riemst,16755
73083,653,Tongres,Tongeren,30996
73098,105,Wellen,Wellen,7372
73107,1016,Maasmechelen,Maasmechelen,38516
73109,226,Fourons,Voeren,4146
81001,1079,Arlon,Aarlen,29858
81003,206,Attert,Attert,5578
81004,540,Aubange,Aubange,17093
81013,51,Martelange,Martelange,1876
81015,302,Messancy,Messancy,8218
82003,721,Bastogne,Bastenaken,15985
82005,155,Bertogne,Bertogne,3659
82009,92,Fauvillers,Fauvillers,2281
82014,200,Houffalize,Houffalize,5193
82032,388,Vielsalm,Vielsalm,7814
82036,300,Vaux_sur_Sure,Vaux_sur_Sure,5640
82037,214,Gouvy,Gouvy,5286
82038,132,Sainte_Ode,Sainte_Ode,2555
83012,695,Durbuy,Durbuy,11395
83013,154,Erezee,Erezee,3284
83028,272,Hotton,Hotton,5556
83031,160,La_Roche_en_Ardenne,La_Roche_en_Ardenne,4253
83034,861,Marche_en_Famenne,Marche_en_Famenne,17465
83040,262,Nassogne,Nassogne,5498
83044,85,Rendeux,Rendeux,2637
83049,125,Tenneville,Tenneville,2832
83055,234,Manhay,Manhay,3556
84009,383,Bertrix,Bertrix,8793
84010,223,Bouillon,Bouillon,5411
84016,53,Daverdisse,Daverdisse,1395
84029,56,Herbeumont,Herbeumont,1624
84033,177,Leglise,Leglise,5471
84035,197,Libin,Libin,5223
84043,332,Neufchateau,Neufchateau,7699
84050,272,Paliseul,Paliseul,5389
84059,225,Saint_Hubert,Saint_Hubert,5569
84068,133,Tellin,Tellin,2432
84075,165,Wellin,Wellin,3093
84077,426,Libramont_Chevigny,Libramont_Chevigny,11276
85007,131,Chiny,Chiny,5180
85009,215,Etalle,Etalle,5877
85011,169,Florenville,Florenville,5578
85024,92,Meix_devant_Virton,Meix_devant_Virton,2809
85026,133,Musson,Musson,4551
85034,116,Saint_Leger,Saint_Leger,3608
85039,170,Tintigny,Tintigny,4300
85045,275,Virton,Virton,11332
85046,287,Habay,Habay,8409
85047,72,Rouvroy,Rouvroy,2107
91005,304,Anhee,Anhee,7046
91013,330,Beauraing,Beauraing,9159
91015,124,Bievre,Bievre,3355
91030,958,Ciney,Ciney,16580
91034,475,Dinant,Dinant,13451
91054,109,Gedinne,Gedinne,4632
91059,458,Hamois,Hamois,7357
91064,293,Havelange,Havelange,5175
91072,229,Houyet,Houyet,4956
91103,132,Onhaye,Onhaye,3241
91114,561,Rochefort,Rochefort,12611
91120,285,Somme_Leuze,Somme_Leuze,5641
91141,449,Yvoir,Yvoir,9167
91142,174,Hastiere,Hastiere,6022
91143,113,Vresse_sur_Semois,Vresse_sur_Semois,2615
92003,1456,Andenne,Andenne,27391
92006,360,Assesse,Assesse,7032
92035,916,Eghezee,Eghezee,16337
92045,386,Floreffe,Floreffe,8144
92048,543,Fosses_la_Ville,Fosses_la_Ville,10388
92054,326,Gesves,Gesves,7202
92087,655,Mettet,Mettet,13102
92094,5600,Namur,Namen,110779
92097,256,Ohey,Ohey,5127
92101,628,Profondeville,Profondeville,12220
92114,422,Sombreffe,Sombreffe,8440
92137,1422,Sambreville,Sambreville,28288
92138,475,Fernelmont,Fernelmont,8032
92140,872,Jemeppe_sur_Sambre,Jemeppe_sur_Sambre,19190
92141,508,La_Bruyere,La_Bruyere,9276
92142,1179,Gembloux,Gembloux,26014
93010,178,Cerfontaine,Cerfontaine,4923
93014,623,Couvin,Couvin,13747
93018,111,Doische,Doische,2997
93022,419,Florennes,Florennes,11310
93056,402,Philippeville,Philippeville,9289
93088,787,Walcourt,Walcourt,18430
93090,151,Viroinval,Viroinval,5659
