,DATE,REGION,AGEGROUP,SEX,DEATHS
262,2020-03-30,Flanders,85+,M,15
263,2020-03-30,Flanders,85+,F,31
264,2020-03-30,Brussels,45-64,F,1
265,2020-03-30,Brussels,65-74,M,2
266,2020-03-30,Brussels,65-74,F,2
267,2020-03-30,Brussels,75-84,M,7
268,2020-03-30,Brussels,75-84,F,4
269,2020-03-30,Brussels,85+,M,9
270,2020-03-30,Brussels,85+,F,5
271,2020-03-30,Wallonia,45-64,M,5
272,2020-03-30,Wallonia,45-64,F,3
273,2020-03-30,Wallonia,65-74,M,2
274,2020-03-30,Wallonia,65-74,F,1
275,2020-03-30,Wallonia,75-84,M,9
276,2020-03-30,Wallonia,75-84,F,9
277,2020-03-30,Wallonia,85+,M,17
278,2020-03-30,Wallonia,85+,F,15
279,2020-03-31,Flanders,45-64,M,4
280,2020-03-31,Flanders,65-74,M,8
281,2020-03-31,Flanders,65-74,F,5
282,2020-03-31,Flanders,75-84,M,24
283,2020-03-31,Flanders,75-84,F,16
284,2020-03-31,Flanders,85+,M,15
285,2020-03-31,Flanders,85+,F,33
286,2020-03-31,Flanders,NA,M,1
287,2020-03-31,Brussels,45-64,M,2
288,2020-03-31,Brussels,45-64,F,2
289,2020-03-31,Brussels,65-74,M,3
290,2020-03-31,Brussels,65-74,F,2
291,2020-03-31,Brussels,75-84,M,7
292,2020-03-31,Brussels,75-84,F,2
293,2020-03-31,Brussels,85+,M,6
294,2020-03-31,Brussels,85+,F,8
295,2020-03-31,Wallonia,25-44,M,1
296,2020-03-31,Wallonia,45-64,M,1
297,2020-03-31,Wallonia,45-64,F,3
298,2020-03-31,Wallonia,65-74,M,5
299,2020-03-31,Wallonia,65-74,F,1
300,2020-03-31,Wallonia,75-84,M,8
301,2020-03-31,Wallonia,75-84,F,12
302,2020-03-31,Wallonia,85+,M,14
303,2020-03-31,Wallonia,85+,F,25
304,2020-04-01,Flanders,25-44,M,1
305,2020-04-01,Flanders,45-64,M,4
306,2020-04-01,Flanders,45-64,F,2
307,2020-04-01,Flanders,65-74,M,4
308,2020-04-01,Flanders,65-74,F,3
309,2020-04-01,Flanders,75-84,M,24
310,2020-04-01,Flanders,75-84,F,16
311,2020-04-01,Flanders,85+,M,39
312,2020-04-01,Flanders,85+,F,31
313,2020-04-01,Brussels,45-64,M,1
314,2020-04-01,Brussels,45-64,F,2
315,2020-04-01,Brussels,65-74,M,4
316,2020-04-01,Brussels,65-74,F,1
317,2020-04-01,Brussels,75-84,M,4
318,2020-04-01,Brussels,75-84,F,4
319,2020-04-01,Brussels,85+,M,6
320,2020-04-01,Brussels,85+,F,10
321,2020-04-01,Wallonia,45-64,M,5
322,2020-04-01,Wallonia,45-64,F,1
323,2020-04-01,Wallonia,65-74,M,4
324,2020-04-01,Wallonia,65-74,F,5
325,2020-04-01,Wallonia,75-84,M,9
326,2020-04-01,Wallonia,75-84,F,17
327,2020-04-01,Wallonia,85+,M,16
328,2020-04-01,Wallonia,85+,F,20
329,2020-04-02,Flanders,45-64,M,2
330,2020-04-02,Flanders,45-64,F,2
331,2020-04-02,Flanders,65-74,M,11
332,2020-04-02,Flanders,65-74,F,3
333,2020-04-02,Flanders,75-84,M,16
334,2020-04-02,Flanders,75-84,F,9
335,2020-04-02,Flanders,85+,M,28
336,2020-04-02,Flanders,85+,F,35
337,2020-04-02,Brussels,45-64,M,3
338,2020-04-02,Brussels,45-64,F,1
339,2020-04-02,Brussels,65-74,M,1
340,2020-04-02,Brussels,65-74,F,2
341,2020-04-02,Brussels,75-84,M,6
342,2020-04-02,Brussels,75-84,F,8
343,2020-04-02,Brussels,85+,M,9
344,2020-04-02,Brussels,85+,F,10
345,2020-04-02,Wallonia,45-64,M,3
346,2020-04-02,Wallonia,45-64,F,2
347,2020-04-02,Wallonia,65-74,M,14
348,2020-04-02,Wallonia,65-74,F,9
349,2020-04-02,Wallonia,75-84,M,5
350,2020-04-02,Wallonia,75-84,F,13
351,2020-04-02,Wallonia,85+,M,15
352,2020-04-02,Wallonia,85+,F,12
353,2020-04-03,Flanders,45-64,M,2
354,2020-04-03,Flanders,65-74,M,7
355,2020-04-03,Flanders,65-74,F,5
356,2020-04-03,Flanders,75-84,M,24
357,2020-04-03,Flanders,75-84,F,10
358,2020-04-03,Flanders,85+,M,31
359,2020-04-03,Flanders,85+,F,37
360,2020-04-03,Brussels,45-64,M,2
361,2020-04-03,Brussels,45-64,F,2
362,2020-04-03,Brussels,65-74,M,3
363,2020-04-03,Brussels,65-74,F,1
364,2020-04-03,Brussels,75-84,M,6
365,2020-04-03,Brussels,75-84,F,3
366,2020-04-03,Brussels,85+,M,5
367,2020-04-03,Brussels,85+,F,8
368,2020-04-03,Wallonia,45-64,M,5
369,2020-04-03,Wallonia,65-74,M,7
370,2020-04-03,Wallonia,65-74,F,4
371,2020-04-03,Wallonia,75-84,M,19
372,2020-04-03,Wallonia,75-84,F,11
373,2020-04-03,Wallonia,85+,M,20
374,2020-04-03,Wallonia,85+,F,24
375,2020-04-04,Flanders,45-64,M,2
376,2020-04-04,Flanders,45-64,F,3
377,2020-04-04,Flanders,65-74,M,4
378,2020-04-04,Flanders,65-74,F,2
379,2020-04-04,Flanders,75-84,M,24
380,2020-04-04,Flanders,75-84,F,14
381,2020-04-04,Flanders,85+,M,31
382,2020-04-04,Flanders,85+,F,44
383,2020-04-04,Flanders,NA,NA,4
384,2020-04-04,Brussels,45-64,M,2
385,2020-04-04,Brussels,65-74,M,2
386,2020-04-04,Brussels,65-74,F,3
387,2020-04-04,Brussels,75-84,M,13
388,2020-04-04,Brussels,75-84,F,6
389,2020-04-04,Brussels,85+,M,12
390,2020-04-04,Brussels,85+,F,17
391,2020-04-04,Brussels,85+,NA,2
392,2020-04-04,Wallonia,25-44,M,1
393,2020-04-04,Wallonia,45-64,M,5
394,2020-04-04,Wallonia,65-74,M,5
395,2020-04-04,Wallonia,65-74,F,6
396,2020-04-04,Wallonia,75-84,M,17
397,2020-04-04,Wallonia,75-84,F,18
398,2020-04-04,Wallonia,85+,M,13
399,2020-04-04,Wallonia,85+,F,21
400,2020-04-05,Flanders,25-44,F,1
401,2020-04-05,Flanders,45-64,M,2
402,2020-04-05,Flanders,65-74,M,11
403,2020-04-05,Flanders,65-74,F,6
404,2020-04-05,Flanders,75-84,M,15
405,2020-04-05,Flanders,75-84,F,16
406,2020-04-05,Flanders,85+,M,36
407,2020-04-05,Flanders,85+,F,37
408,2020-04-05,Brussels,25-44,M,2
409,2020-04-05,Brussels,45-64,M,3
410,2020-04-05,Brussels,45-64,F,1
411,2020-04-05,Brussels,65-74,M,2
412,2020-04-05,Brussels,65-74,F,2
413,2020-04-05,Brussels,75-84,M,9
414,2020-04-05,Brussels,75-84,F,5
415,2020-04-05,Brussels,85+,M,2
416,2020-04-05,Brussels,85+,F,12
417,2020-04-05,Wallonia,45-64,M,4
418,2020-04-05,Wallonia,65-74,M,11
419,2020-04-05,Wallonia,65-74,F,5
420,2020-04-05,Wallonia,75-84,M,13
421,2020-04-05,Wallonia,75-84,F,9
422,2020-04-05,Wallonia,85+,M,18
423,2020-04-05,Wallonia,85+,F,25
424,2020-04-06,Flanders,25-44,M,1
425,2020-04-06,Flanders,45-64,M,2
426,2020-04-06,Flanders,45-64,F,2
427,2020-04-06,Flanders,65-74,M,10
428,2020-04-06,Flanders,65-74,F,3
429,2020-04-06,Flanders,75-84,M,16
430,2020-04-06,Flanders,75-84,F,18
431,2020-04-06,Flanders,85+,M,32
432,2020-04-06,Flanders,85+,F,42
433,2020-04-06,Brussels,45-64,M,3
434,2020-04-06,Brussels,45-64,F,2
435,2020-04-06,Brussels,65-74,M,4
436,2020-04-06,Brussels,65-74,F,2
437,2020-04-06,Brussels,75-84,M,10
438,2020-04-06,Brussels,75-84,F,7
439,2020-04-06,Brussels,85+,M,9
440,2020-04-06,Brussels,85+,F,10
441,2020-04-06,Wallonia,45-64,M,1
442,2020-04-06,Wallonia,45-64,F,1
443,2020-04-06,Wallonia,65-74,M,6
444,2020-04-06,Wallonia,65-74,F,4
445,2020-04-06,Wallonia,75-84,M,12
446,2020-04-06,Wallonia,75-84,F,9
447,2020-04-06,Wallonia,85+,M,20
448,2020-04-06,Wallonia,85+,F,31
449,2020-04-07,Flanders,45-64,M,1
450,2020-04-07,Flanders,45-64,F,2
451,2020-04-07,Flanders,65-74,M,6
452,2020-04-07,Flanders,65-74,F,4
453,2020-04-07,Flanders,75-84,M,17
454,2020-04-07,Flanders,75-84,F,26
455,2020-04-07,Flanders,85+,M,23
456,2020-04-07,Flanders,85+,F,48
457,2020-04-07,Brussels,45-64,M,3
458,2020-04-07,Brussels,45-64,F,1
459,2020-04-07,Brussels,65-74,M,4
460,2020-04-07,Brussels,65-74,F,3
461,2020-04-07,Brussels,75-84,M,11
462,2020-04-07,Brussels,75-84,F,8
463,2020-04-07,Brussels,85+,M,7
464,2020-04-07,Brussels,85+,F,9
465,2020-04-07,Wallonia,25-44,M,1
466,2020-04-07,Wallonia,25-44,F,1
467,2020-04-07,Wallonia,45-64,M,3
468,2020-04-07,Wallonia,45-64,F,2
469,2020-04-07,Wallonia,65-74,M,7
470,2020-04-07,Wallonia,65-74,F,1
471,2020-04-07,Wallonia,75-84,M,20
472,2020-04-07,Wallonia,75-84,F,12
473,2020-04-07,Wallonia,85+,M,20
474,2020-04-07,Wallonia,85+,F,37
475,2020-04-08,Flanders,25-44,M,1
476,2020-04-08,Flanders,45-64,M,3
477,2020-04-08,Flanders,45-64,F,2
478,2020-04-08,Flanders,65-74,M,10
479,2020-04-08,Flanders,65-74,F,7
480,2020-04-08,Flanders,75-84,M,19
481,2020-04-08,Flanders,75-84,F,25
482,2020-04-08,Flanders,85+,M,34
483,2020-04-08,Flanders,85+,F,54
484,2020-04-08,Brussels,45-64,F,1
485,2020-04-08,Brussels,65-74,M,2
486,2020-04-08,Brussels,65-74,F,2
487,2020-04-08,Brussels,75-84,M,12
488,2020-04-08,Brussels,75-84,F,8
489,2020-04-08,Brussels,85+,M,9
490,2020-04-08,Brussels,85+,F,20
491,2020-04-08,Wallonia,45-64,M,3
492,2020-04-08,Wallonia,45-64,F,3
493,2020-04-08,Wallonia,65-74,M,6
494,2020-04-08,Wallonia,65-74,F,4
495,2020-04-08,Wallonia,75-84,M,11
496,2020-04-08,Wallonia,75-84,F,24
497,2020-04-08,Wallonia,85+,M,25
498,2020-04-08,Wallonia,85+,F,37
499,2020-04-09,Flanders,25-44,F,1
500,2020-04-09,Flanders,45-64,M,1
501,2020-04-09,Flanders,45-64,F,1
502,2020-04-09,Flanders,65-74,M,4
503,2020-04-09,Flanders,65-74,F,4
504,2020-04-09,Flanders,75-84,M,25
505,2020-04-09,Flanders,75-84,F,14
506,2020-04-09,Flanders,85+,M,26
507,2020-04-09,Flanders,85+,F,48
508,2020-04-09,Brussels,45-64,M,3
509,2020-04-09,Brussels,45-64,F,2
510,2020-04-09,Brussels,75-84,M,8
511,2020-04-09,Brussels,75-84,F,5
512,2020-04-09,Brussels,85+,M,7
513,2020-04-09,Brussels,85+,F,16
514,2020-04-09,Wallonia,45-64,M,3
515,2020-04-09,Wallonia,45-64,F,2
516,2020-04-09,Wallonia,65-74,M,12
517,2020-04-09,Wallonia,65-74,F,6
518,2020-04-09,Wallonia,75-84,M,15
519,2020-04-09,Wallonia,75-84,F,14
520,2020-04-09,Wallonia,85+,M,18
521,2020-04-09,Wallonia,85+,F,37
522,2020-04-10,Flanders,45-64,M,3
523,2020-04-10,Flanders,45-64,F,3
524,2020-04-10,Flanders,65-74,M,5
525,2020-04-10,Flanders,65-74,F,4
526,2020-04-10,Flanders,75-84,M,25
527,2020-04-10,Flanders,75-84,F,20
528,2020-04-10,Flanders,85+,M,33
529,2020-04-10,Flanders,85+,F,49
530,2020-04-10,Brussels,45-64,M,1
531,2020-04-10,Brussels,65-74,M,2
532,2020-04-10,Brussels,65-74,F,1
533,2020-04-10,Brussels,75-84,M,14
534,2020-04-10,Brussels,75-84,F,11
535,2020-04-10,Brussels,85+,M,15
536,2020-04-10,Brussels,85+,F,11
537,2020-04-10,Wallonia,45-64,M,4
538,2020-04-10,Wallonia,65-74,M,6
539,2020-04-10,Wallonia,65-74,F,8
540,2020-04-10,Wallonia,75-84,M,12
541,2020-04-10,Wallonia,75-84,F,17
