CD_REFNIS,CD_SEX,CD_AGEGROUP,DT_DATE,NR_YEAR,MS_NUM_DEATH
2000,1,0-24,2010-01-02,2010,1
2000,1,0-24,2012-01-02,2012,1
2000,1,0-24,2013-01-02,2013,3
2000,1,0-24,2015-01-02,2015,2
2000,1,0-24,2016-01-02,2016,2
2000,1,0-24,2017-01-02,2017,1
2000,1,0-24,2018-01-02,2018,1
2000,1,0-24,2019-01-02,2019,1
2000,1,0-24,2020-01-02,2020,2
2000,1,25-44,2009-01-02,2009,5
2000,1,25-44,2010-01-02,2010,1
2000,1,25-44,2011-01-02,2011,3
2000,1,25-44,2012-01-02,2012,3
2000,1,25-44,2013-01-02,2013,2
2000,1,25-44,2014-01-02,2014,2
2000,1,25-44,2015-01-02,2015,6
2000,1,25-44,2016-01-02,2016,3
2000,1,25-44,2017-01-02,2017,5
2000,1,25-44,2018-01-02,2018,4
2000,1,25-44,2019-01-02,2019,2
2000,1,25-44,2020-01-02,2020,3
2000,1,45-64,2009-01-02,2009,17
2000,1,45-64,2010-01-02,2010,18
2000,1,45-64,2011-01-02,2011,17
2000,1,45-64,2012-01-02,2012,10
2000,1,45-64,2013-01-02,2013,14
2000,1,45-64,2014-01-02,2014,17
2000,1,45-64,2015-01-02,2015,16
2000,1,45-64,2016-01-02,2016,12
2000,1,45-64,2017-01-02,2017,13
2000,1,45-64,2018-01-02,2018,14
2000,1,45-64,2019-01-02,2019,8
2000,1,45-64,2020-01-02,2020,13
2000,1,65-74,2009-01-02,2009,23
2000,1,65-74,2010-01-02,2010,15
2000,1,65-74,2011-01-02,2011,20
2000,1,65-74,2012-01-02,2012,19
2000,1,65-74,2013-01-02,2013,13
2000,1,65-74,2014-01-02,2014,20
2000,1,65-74,2015-01-02,2015,18
2000,1,65-74,2016-01-02,2016,19
2000,1,65-74,2017-01-02,2017,15
2000,1,65-74,2018-01-02,2018,14
2000,1,65-74,2019-01-02,2019,17
2000,1,65-74,2020-01-02,2020,11
2000,1,75-84,2009-01-02,2009,30
2000,1,75-84,2010-01-02,2010,32
2000,1,75-84,2011-01-02,2011,20
2000,1,75-84,2012-01-02,2012,29
2000,1,75-84,2013-01-02,2013,34
2000,1,75-84,2014-01-02,2014,23
2000,1,75-84,2015-01-02,2015,25
2000,1,75-84,2016-01-02,2016,32
2000,1,75-84,2017-01-02,2017,51
2000,1,75-84,2018-01-02,2018,27
2000,1,75-84,2019-01-02,2019,29
2000,1,75-84,2020-01-02,2020,39
2000,1,85+,2009-01-02,2009,23
2000,1,85+,2010-01-02,2010,25
2000,1,85+,2011-01-02,2011,28
2000,1,85+,2012-01-02,2012,31
2000,1,85+,2013-01-02,2013,28
2000,1,85+,2014-01-02,2014,33
2000,1,85+,2015-01-02,2015,32
2000,1,85+,2016-01-02,2016,36
2000,1,85+,2017-01-02,2017,30
2000,1,85+,2018-01-02,2018,27
2000,1,85+,2019-01-02,2019,41
2000,1,85+,2020-01-02,2020,38
2000,2,0-24,2010-01-02,2010,2
2000,2,0-24,2014-01-02,2014,1
2000,2,0-24,2015-01-02,2015,2
2000,2,0-24,2017-01-02,2017,1
2000,2,0-24,2019-01-02,2019,1
2000,2,25-44,2009-01-02,2009,1
2000,2,25-44,2010-01-02,2010,2
2000,2,25-44,2011-01-02,2011,2
2000,2,25-44,2012-01-02,2012,2
2000,2,25-44,2013-01-02,2013,1
2000,2,25-44,2015-01-02,2015,2
2000,2,25-44,2017-01-02,2017,1
2000,2,45-64,2009-01-02,2009,7
2000,2,45-64,2010-01-02,2010,14
2000,2,45-64,2011-01-02,2011,16
2000,2,45-64,2012-01-02,2012,8
2000,2,45-64,2013-01-02,2013,7
2000,2,45-64,2014-01-02,2014,4
2000,2,45-64,2015-01-02,2015,5
2000,2,45-64,2016-01-02,2016,10
2000,2,45-64,2017-01-02,2017,6
2000,2,45-64,2018-01-02,2018,9
2000,2,45-64,2019-01-02,2019,8
2000,2,45-64,2020-01-02,2020,8
2000,2,65-74,2009-01-02,2009,4
2000,2,65-74,2010-01-02,2010,10
2000,2,65-74,2011-01-02,2011,4
2000,2,65-74,2012-01-02,2012,9
2000,2,65-74,2013-01-02,2013,14
2000,2,65-74,2014-01-02,2014,8
2000,2,65-74,2015-01-02,2015,9
2000,2,65-74,2016-01-02,2016,11
2000,2,65-74,2017-01-02,2017,10
2000,2,65-74,2018-01-02,2018,8
2000,2,65-74,2019-01-02,2019,9
2000,2,65-74,2020-01-02,2020,10
2000,2,75-84,2009-01-02,2009,29
2000,2,75-84,2010-01-02,2010,35
2000,2,75-84,2011-01-02,2011,32
2000,2,75-84,2012-01-02,2012,29
2000,2,75-84,2013-01-02,2013,31
2000,2,75-84,2014-01-02,2014,27
2000,2,75-84,2015-01-02,2015,30
2000,2,75-84,2016-01-02,2016,17
2000,2,75-84,2017-01-02,2017,24
2000,2,75-84,2018-01-02,2018,31
2000,2,75-84,2019-01-02,2019,22
2000,2,75-84,2020-01-02,2020,20
2000,2,85+,2009-01-02,2009,31
2000,2,85+,2010-01-02,2010,50
2000,2,85+,2011-01-02,2011,37
2000,2,85+,2012-01-02,2012,42
2000,2,85+,2013-01-02,2013,37
2000,2,85+,2014-01-02,2014,45
2000,2,85+,2015-01-02,2015,55
2000,2,85+,2016-01-02,2016,40
2000,2,85+,2017-01-02,2017,48
2000,2,85+,2018-01-02,2018,54
2000,2,85+,2019-01-02,2019,62
2000,2,85+,2020-01-02,2020,46
3000,1,0-24,2009-01-02,2009,3
3000,1,0-24,2010-01-02,2010,1
3000,1,0-24,2011-01-02,2011,1
3000,1,0-24,2012-01-02,2012,1
3000,1,0-24,2013-01-02,2013,1
3000,1,0-24,2017-01-02,2017,2
3000,1,25-44,2009-01-02,2009,4
3000,1,25-44,2010-01-02,2010,4
3000,1,25-44,2011-01-02,2011,1
3000,1,25-44,2013-01-02,2013,5
3000,1,25-44,2015-01-02,2015,1
3000,1,25-44,2016-01-02,2016,2
3000,1,25-44,2017-01-02,2017,3
3000,1,25-44,2018-01-02,2018,5
3000,1,25-44,2019-01-02,2019,2
3000,1,25-44,2020-01-02,2020,2
3000,1,45-64,2009-01-02,2009,14
3000,1,45-64,2010-01-02,2010,9
3000,1,45-64,2011-01-02,2011,15
3000,1,45-64,2012-01-02,2012,9
3000,1,45-64,2013-01-02,2013,15
3000,1,45-64,2014-01-02,2014,14
3000,1,45-64,2015-01-02,2015,10
3000,1,45-64,2016-01-02,2016,12
3000,1,45-64,2017-01-02,2017,9
3000,1,45-64,2018-01-02,2018,11
3000,1,45-64,2019-01-02,2019,20
3000,1,45-64,2020-01-02,2020,9
3000,1,65-74,2009-01-02,2009,8
3000,1,65-74,2010-01-02,2010,4
3000,1,65-74,2011-01-02,2011,10
3000,1,65-74,2012-01-02,2012,12
3000,1,65-74,2013-01-02,2013,13
3000,1,65-74,2014-01-02,2014,13
3000,1,65-74,2015-01-02,2015,12
3000,1,65-74,2016-01-02,2016,10
3000,1,65-74,2017-01-02,2017,11
3000,1,65-74,2018-01-02,2018,25
3000,1,65-74,2019-01-02,2019,11
3000,1,65-74,2020-01-02,2020,13
3000,1,75-84,2009-01-02,2009,13
3000,1,75-84,2010-01-02,2010,17
3000,1,75-84,2011-01-02,2011,8
3000,1,75-84,2012-01-02,2012,12
3000,1,75-84,2013-01-02,2013,14
3000,1,75-84,2014-01-02,2014,7
3000,1,75-84,2015-01-02,2015,17
3000,1,75-84,2016-01-02,2016,14
3000,1,75-84,2017-01-02,2017,14
3000,1,75-84,2018-01-02,2018,15
3000,1,75-84,2019-01-02,2019,15
3000,1,75-84,2020-01-02,2020,16
3000,1,85+,2009-01-02,2009,14
3000,1,85+,2010-01-02,2010,9
3000,1,85+,2011-01-02,2011,22
3000,1,85+,2012-01-02,2012,18
