DATE,REGION,AGEGROUP,SEX,DOSE,COUNT
2021-01-11,Flanders,18-34,F,A,216
2021-01-11,Flanders,18-34,M,A,38
2021-01-11,Flanders,35-44,F,A,182
2021-01-11,Flanders,35-44,M,A,28
2021-01-11,Flanders,45-54,F,A,232
2021-01-11,Flanders,45-54,M,A,63
2021-01-11,Flanders,55-64,F,A,206
2021-01-11,Flanders,55-64,M,A,78
2021-01-11,Flanders,65-74,F,A,102
2021-01-11,Flanders,65-74,M,A,86
2021-01-11,Flanders,75-84,F,A,501
2021-01-11,Flanders,75-84,M,A,232
2021-01-11,Flanders,85+,F,A,1408
2021-01-11,Flanders,85+,M,A,374
2021-01-11,,18-34,F,A,8
2021-01-11,,18-34,M,A,1
2021-01-11,,35-44,F,A,5
2021-01-11,,35-44,M,A,2
2021-01-11,,45-54,F,A,10
2021-01-11,,45-54,M,A,3
2021-01-11,,55-64,F,A,2
2021-01-11,,55-64,M,A,1
2021-01-11,,65-74,F,A,2
2021-01-11,,85+,F,A,1
2021-01-11,Ostbelgien,18-34,F,A,3
2021-01-11,Ostbelgien,35-44,M,A,2
2021-01-11,Ostbelgien,45-54,F,A,3
2021-01-11,Ostbelgien,45-54,M,A,3
2021-01-11,Ostbelgien,55-64,F,A,5
2021-01-11,Ostbelgien,55-64,M,A,6
2021-01-11,Ostbelgien,65-74,F,A,5
2021-01-11,Ostbelgien,65-74,M,A,4
2021-01-11,Ostbelgien,75-84,F,A,32
2021-01-11,Ostbelgien,75-84,M,A,18
2021-01-11,Ostbelgien,85+,F,A,51
2021-01-11,Ostbelgien,85+,M,A,11
2021-01-11,Wallonia,0-17,M,A,2
2021-01-11,Wallonia,18-34,F,A,104
2021-01-11,Wallonia,18-34,M,A,33
2021-01-11,Wallonia,35-44,F,A,111
2021-01-11,Wallonia,35-44,M,A,27
2021-01-11,Wallonia,45-54,F,A,144
2021-01-11,Wallonia,45-54,M,A,40
2021-01-11,Wallonia,55-64,F,A,138
2021-01-11,Wallonia,55-64,M,A,87
2021-01-11,Wallonia,65-74,F,A,71
2021-01-11,Wallonia,65-74,M,A,64
2021-01-11,Wallonia,75-84,F,A,157
2021-01-11,Wallonia,75-84,M,A,74
2021-01-11,Wallonia,85+,F,A,376
2021-01-11,Wallonia,85+,M,A,89
2021-01-12,Brussels,18-34,F,A,10
2021-01-12,Brussels,18-34,M,A,8
2021-01-12,Brussels,35-44,F,A,11
2021-01-12,Brussels,35-44,M,A,7
2021-01-12,Brussels,45-54,F,A,15
2021-01-12,Brussels,45-54,M,A,18
2021-01-12,Brussels,55-64,F,A,45
2021-01-12,Brussels,55-64,M,A,41
2021-01-12,Brussels,65-74,F,A,77
2021-01-12,Brussels,65-74,M,A,48
2021-01-12,Brussels,75-84,F,A,176
2021-01-12,Brussels,75-84,M,A,77
2021-01-12,Brussels,85+,F,A,439
2021-01-12,Brussels,85+,M,A,119
2021-01-12,Flanders,0-17,F,A,2
2021-01-12,Flanders,18-34,F,A,401
2021-01-12,Flanders,18-34,M,A,84
2021-01-12,Flanders,35-44,F,A,340
2021-01-12,Flanders,35-44,M,A,71
2021-01-12,Flanders,45-54,F,A,476
2021-01-12,Flanders,45-54,M,A,103
2021-01-12,Flanders,55-64,F,A,538
2021-01-12,Flanders,55-64,M,A,186
2021-01-12,Flanders,65-74,F,A,280
