,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
10853,34023,1,Kuurne,16,,
10800,34022,1,Courtrai,106,,
10747,34013,1,Harelbeke,68,,
10694,34009,1,Deerlijk,18,,
10641,34003,1,Avelgem,23,,
11166,34043,1,Espierres-Helchin,2,,
11838,36012,1,Moorslede,20,,
11891,36015,1,Roulers,116,,
11944,36019,1,Staden,5,,
13143,41081,1,Zottegem,34,,
13090,41063,1,Sint-Lievens-Houtem,5,,
13037,41048,1,Ninove,90,,
12984,41034,1,Lede,18,,
12931,41027,1,Herzele,21,,
12878,41024,1,Haaltert,14,,
1373,11054,1,Zandhoven,15,,
12825,41018,1,Grammont,25,,
12772,41011,1,Denderleeuw,12,,
12719,41002,1,Alost (Alost),137,,
12669,38025,1,Furnes,28,,
12617,38016,1,Nieuport,6,,
12564,38014,1,Koksijde,25,,
12514,38008,1,La Panne,3,,
12464,38002,1,Alveringem,3,,
12412,37020,1,Ardooie,13,,
12359,37018,1,Wingene,15,,
12308,37017,1,Wielsbeke,11,,
12256,37015,1,Tielt (Tielt),47,,
12204,37012,1,Ruiselede,6,,
1426,11055,1,Zoersel,12,,
12152,37011,1,Pittem,4,,
12101,37010,1,Oostrozebeke,13,,
12049,37007,1,Meulebeke,11,,
11997,37002,1,Dentergem,23,,
10588,34002,1,Anzegem,17,,
24136,71037,1,Lummen,4,,
10542,33041,1,Vleteren,5,,
10440,33039,1,Heuvelland,3,,
8954,25112,1,Wavre,76,,
1689,12007,1,Bornem,13,,
8901,25110,1,Waterloo,45,,
8848,25107,1,Villers-la-Ville,8,,
8795,25105,1,Tubize,23,,
8742,25091,1,Rixensart,16,,
8689,25084,1,Perwez (Nivelles),5,,
8636,25072,1,Nivelles,20,,
8583,25068,1,Mont-Saint-Guibert,5,,
8530,25050,1,La Hulpe,9,,
8477,25048,1,Jodoigne,6,,
9007,25117,1,Chastre,4,,
8426,25044,1,Ittre,5,,
8320,25037,1,Grez-Doiceau,20,,
1742,12009,1,Duffel,37,,
8267,25031,1,Genappe,12,,
8214,25023,1,Court-Saint-Etienne,4,,
8161,25018,1,Chaumont-Gistoux,14,,
8108,25015,1,Braine-le-ChÃ¢teau,5,,
8055,25014,1,Braine-lâAlleud,22,,
8004,25005,1,Beauvechain,6,,
7908,24135,1,Tielt-Winge,10,,
7857,24134,1,Montaigu-Zichem,13,,
7807,24133,1,Linter,9,,
8373,25043,1,Incourt,2,,
9058,25118,1,HÃ©lÃ©cine,2,,
9107,25119,1,Lasne,21,,
9160,25120,1,Orp-Jauche,9,,
10387,33037,1,Zonnebeke,16,,
10334,33029,1,Wervik,28,,
10281,33021,1,Poperinge,38,,
1585,12002,1,Berlaar,15,,
10197,33011,1,Ypres,23,,
10149,32030,1,Lo-Reninge,2,,
10097,32011,1,Kortemark,45,,
10046,32010,1,Koekelare,4,,
9993,32006,1,Houthulst,70,,
9941,32003,1,Dixmude,32,,
9888,31043,1,Knokke-Heist,17,,
9844,31042,1,Zuienkerke,1,,
9791,31040,1,Zedelgem,24,,
9738,31033,1,Torhout,11,,
9685,31022,1,Oostkamp,22,,
9632,31012,1,Jabbeke,20,,
1637,12005,1,Bonheiden,4,,
9580,31006,1,Damme,4,,
9527,31005,1,Bruges,159,,
9475,31004,1,Blankenberge,3,,
9423,31003,1,Beernem,26,,
9370,25124,1,Walhain,9,,
9317,25123,1,Rebecq,6,,
9265,25122,1,Ramillies,3,,
9212,25121,1,Ottignies-Louvain-la-Neuve,30,,
10491,33040,1,Langemark-Poelkapelle,3,,
24189,71045,1,Nieuwerkerken (Hasselt),5,,
16049,51014,1,ChiÃ¨vres,11,,
2271,13002,1,Baerle-Duc,3,,
29347,92140,1,Jemeppe-sur-Sambre,9,,
26465,83012,1,Durbuy,4,,
24814,72030,1,Peer,10,,
27848,85046,1,Habay,28,,
26414,82038,1,Sainte-Ode,3,,
29296,92138,1,Fernelmont,4,,
24867,72037,1,Hamont-Achel,4,,
26364,82037,1,Gouvy,4,,
159,11005,1,Boom,11,,
29243,92137,1,Sambreville,28,,
24920,72038,1,Hechtel-Eksel,6,,
27945,91005,1,AnhÃ©e,16,,
53,11002,1,Anvers,733,,
26260,82032,1,Vielsalm,15,,
24972,72039,1,Houthalen-Helchteren,11,,
27997,91013,1,Beauraing,3,,
26211,82014,1,Houffalize,1,,
28048,91015,1,BiÃ¨vre,1,,
26312,82036,1,Vaux-sur-SÃ»re,4,,
24761,72021,1,Maaseik,33,,
265,11008,1,Brasschaat,35,,
27797,85045,1,Virton,48,,
26809,83049,1,Tenneville,2,,
424,11016,1,Essen,25,,
27565,85011,1,Florenville,5,,
29552,93014,1,Couvin,6,,
24550,72003,1,Bocholt,19,,
27615,85024,1,Meix-devant-Virton,4,,
26712,83040,1,Nassogne,2,,
27657,85026,1,Musson,2,,
24603,72004,1,Bree,13,,
29503,93010,1,Cerfontaine,4,,
26659,83034,1,Marche-en-Famenne,5,,
27705,85034,1,Saint-LÃ©ger (Virton),4,,
24656,72018,1,Kinrooi,22,,
26614,83031,1,La Roche-en-Ardenne,3,,
29450,92142,1,Gembloux,32,,
27750,85039,1,Tintigny,10,,
24708,72020,1,Lommel,55,,
26563,83028,1,Hotton,4,,
29400,92141,1,La BruyÃ¨re,4,,
29191,92114,1,Sombreffe,4,,
