NIS5,CASES,RANGE,FR,NL
91054,4,4-16,Gedinne,Gedinne
91059,6,6-24,Hamois,Hamois
91064,9,9-36,Havelange,Havelange
91072,3,3-12,Houyet,Houyet
91103,6,6-24,Onhaye,Onhaye
91114,7,7-28,Rochefort,Rochefort
91120,6,6-24,Somme_Leuze,Somme_Leuze
91141,11,11-44,Yvoir,Yvoir
91142,2,2-8,Hastiere,Hastiere
91143,0,0-0,Vresse_sur_Semois,Vresse_sur_Semois
92003,19,19-76,Andenne,Andenne
92006,6,6-24,Assesse,Assesse
92035,14,14-56,Eghezee,Eghezee
92045,5,5-20,Floreffe,Floreffe
92048,5,5-20,Fosses_la_Ville,Fosses_la_Ville
92054,3,3-12,Gesves,Gesves
92087,9,9-36,Mettet,Mettet
92094,80,80-113,Namur,Namen
92097,2,2-8,Ohey,Ohey
92101,10,10-40,Profondeville,Profondeville
92114,6,6-24,Sombreffe,Sombreffe
92137,11,11-44,Sambreville,Sambreville
92138,3,3-12,Fernelmont,Fernelmont
92140,12,12-48,Jemeppe_sur_Sambre,Jemeppe_sur_Sambre
92141,6,6-24,La_Bruyere,La_Bruyere
92142,26,26-56,Gembloux,Gembloux
93010,2,2-8,Cerfontaine,Cerfontaine
93014,8,8-32,Couvin,Couvin
93018,1,1-4,Doische,Doische
93022,5,5-20,Florennes,Florennes
93056,4,4-16,Philippeville,Philippeville
93088,5,5-20,Walcourt,Walcourt
93090,4,4-16,Viroinval,Viroinval
