,Date,Age,Location
603,2020-01-16,77,Sint-Truiden
604,2020-01-16,95,Dinant
605,2020-01-16,81,Heist-Aan-Zee
606,2020-01-16,95,Héron
607,2020-01-16,77,-
608,2020-01-16,88,Ciney
609,2020-01-16,80,Hannut
610,2020-01-16,83,Luingne
611,2020-01-16,67,Houthalen
612,2020-01-16,91,Baronville
613,2020-01-16,63,Grandvoir
614,2020-01-16,71,Zutendaal
615,2020-01-16,75,Nettinne
616,2020-01-16,67,-
617,2020-01-16,86,-
618,2020-01-16,78,Wierde
619,2020-01-16,91,Hasselt
620,2020-01-16,75,Warchin
621,2020-01-16,80,Mortsel
622,2020-01-16,66,Libramont-Chevigny
623,2020-01-16,98,Hévillers
624,2020-01-16,86,Lierneux
625,2020-01-16,81,Virton
626,2020-01-16,80,Wanze
627,2020-01-16,95,-
628,2020-01-16,96,Hérinnes
629,2020-01-16,94,Franière
630,2020-01-16,75,Knokke
631,2020-01-15,59,Lier
632,2020-01-15,95,Verviers
633,2020-01-15,91,Rijkevorsel
634,2020-01-15,88,Sint-Truiden
635,2020-01-15,76,Lustin
636,2020-01-15,70,Bilzen
637,2020-01-15,92,Mont-Saint-Aubert
638,2020-01-15,36,Dessel
639,2020-01-15,95,Gent
640,2020-01-15,87,-
641,2020-01-15,65,Opont
642,2020-01-15,73,Gaurain-Ramecroix
643,2020-01-15,99,Oudsbergen
644,2020-01-15,95,Alken
645,2020-01-15,89,Kermt
646,2020-01-15,92,Chiny
647,2020-01-15,12,Balen
648,2020-01-15,94,Bouge
649,2020-01-15,45,Namur
650,2020-01-15,87,Namur
651,2020-01-15,73,Henri-Chapelle
652,2020-01-15,83,Tongeren
653,2020-01-15,93,Dinant
654,2020-01-15,57,-
655,2020-01-15,82,Achel
656,2020-01-15,79,Maaseik
657,2020-01-15,94,Tournai
658,2020-01-15,92,Dilbeek
659,2020-01-15,62,Oudsbergen
660,2020-01-15,88,-
661,2020-01-15,76,Erpent
662,2020-01-15,89,Gembloux
663,2020-01-15,67,Sart-Bernard
664,2020-01-15,72,Hasselt
665,2020-01-15,87,Hamont
666,2020-01-15,88,Tongeren
667,2020-01-15,76,Orcq
668,2020-01-15,89,Zottegem
669,2020-01-15,89,Neeroeteren
670,2020-01-15,92,Houthalen
671,2020-01-15,75,Oostende
672,2020-01-15,88,Wijnegem
673,2020-01-15,85,Hoeselt
674,2020-01-15,78,Zonhoven
675,2020-01-14,91,Diepenbeek
676,2020-01-14,91,Winenne
677,2020-01-14,86,Overpelt
678,2020-01-14,85,Hotton
679,2020-01-14,93,Beauraing
680,2020-01-14,61,Genk
681,2020-01-14,88,Templeuve
682,2020-01-14,83,Koersel
683,2020-01-14,89,Ellezelles
684,2020-01-14,73,Genk
685,2020-01-14,95,Kain
686,2020-01-14,86,Frasnes
687,2020-01-14,86,Koksijde
688,2020-01-14,72,Marche-En-Famenne
689,2020-01-14,85,Borgloon
690,2020-01-14,77,Barvaux-Sur-Ourthe
691,2020-01-14,94,Mortsel
692,2020-01-14,92,Maaseik
693,2020-01-14,87,-
694,2020-01-14,-1,Genk
695,2020-01-14,89,Spy
696,2020-01-14,89,Heverlee
697,2020-01-14,99,Tongeren
698,2020-01-14,68,Gedinne
699,2020-01-14,90,Brugge
700,2020-01-14,77,Borgloon
701,2020-01-14,92,Juprelle
702,2020-01-14,89,Leopoldsburg
703,2020-01-14,77,Sint-Truiden
704,2020-01-14,68,Gedinne
705,2020-01-14,92,Heusden
706,2020-01-14,86,Faulx-Les Tombes
707,2020-01-14,80,Spalbeek
708,2020-01-14,90,Knokke
709,2020-01-14,76,Bastogne
710,2020-01-14,76,Sint-Truiden
711,2020-01-14,74,Herstal
712,2020-01-14,88,Leopoldsburg
713,2020-01-14,76,Genk
714,2020-01-14,83,Wellen
715,2020-01-14,84,Viersel
716,2020-01-14,75,Vliermaal
717,2020-01-14,77,Mont-Saint-Aubert
718,2020-01-14,65,Soye
719,2020-01-13,28,-
720,2020-01-13,94,Mortsel
721,2020-01-13,85,Bree
722,2020-01-13,90,Vezon
723,2020-01-13,81,Hasselt
724,2020-01-13,59,Dilsen-Stokkem
725,2020-01-13,86,As
726,2020-01-13,73,Lommel
727,2020-01-13,88,Mechelen-Aan-De-Maas
728,2020-01-13,90,Sleidinge
729,2020-01-13,86,Lebbeke
730,2020-01-13,86,Oordegem
731,2020-01-13,94,Hannut
732,2020-01-13,89,Lesdain
733,2020-01-13,83,Schilde
734,2020-01-13,70,-
735,2020-01-13,87,Kortrijk
736,2020-01-13,66,Bocholt
737,2020-01-13,99,Bertrix
738,2020-01-13,92,Zonhoven
739,2020-01-13,69,Oostmalle
740,2020-01-13,89,Sainte-Ode
741,2020-01-13,79,Sorée
742,2020-01-13,79,Signeulx
743,2020-01-13,92,Fraiture
744,2020-01-13,85,Bocholt
745,2020-01-13,81,Marquain
746,2020-01-13,93,Amay
747,2020-01-13,89,Libramont-Chevigny
748,2020-01-13,83,Tessenderlo
749,2020-01-13,79,Lanklaar
750,2020-01-13,68,Kain
751,2020-01-13,80,Onhaye
752,2020-01-13,91,Bastogne
