YEAR_WEEK,NIS5,AGEGROUP,CUMUL,AgeGroup,COUNT,percent
21W33,12025,75-84,4677,75-84,4928,94.90665584415585
21W33,12025,85+,2272,85+,2489,91.28163921253515
21W33,12026,0-17,1382,0-17,4314,32.035234121464995
21W33,12026,35-44,2701,35-44,2958,91.31169709263015
21W33,12026,45-54,3088,45-54,3375,91.4962962962963
21W33,12026,55-64,3250,55-64,3348,97.07287933094385
21W33,12026,65-74,2525,65-74,2622,96.30053394355454
21W33,12026,75-84,1584,75-84,1605,98.69158878504673
21W33,12026,85+,582,85+,599,97.16193656093489
21W33,12029,0-17,1086,0-17,3292,32.98906439854192
21W33,12029,35-44,2098,35-44,2242,93.5771632471008
21W33,12029,45-54,2462,45-54,2607,94.43805140007672
21W33,12029,55-64,2583,55-64,2612,98.88973966309341
21W33,12029,65-74,2082,65-74,2089,99.6649114408808
21W33,12029,75-84,1302,75-84,1297,100.38550501156514
21W33,12029,85+,504,85+,536,94.02985074626865
21W33,12035,0-17,1370,0-17,4112,33.31712062256809
21W33,12035,35-44,2416,35-44,2606,92.70913277052955
21W33,12035,45-54,2819,45-54,2948,95.62415196743555
21W33,12035,55-64,2861,55-64,2946,97.11473183978276
21W33,12035,65-74,2241,65-74,2220,100.94594594594595
21W33,12035,75-84,1418,75-84,1483,95.61699258260283
21W33,12035,85+,772,85+,789,97.84537389100127
21W33,12040,0-17,1465,0-17,6180,23.705501618122977
21W33,12040,35-44,3064,35-44,3508,87.34321550741163
21W33,12040,45-54,3240,45-54,3599,90.02500694637399
21W33,12040,55-64,3260,55-64,3400,95.88235294117646
21W33,12040,65-74,2372,65-74,2454,96.65851670741647
21W33,12040,75-84,1509,75-84,1594,94.66750313676286
21W33,12040,85+,748,85+,778,96.1439588688946
21W33,12041,0-17,1655,0-17,5097,32.4700804394742
21W33,12041,35-44,3133,35-44,3299,94.96817217338588
21W33,12041,45-54,3506,45-54,3741,93.71825715049452
21W33,12041,55-64,3602,55-64,3635,99.09215955983494
21W33,12041,65-74,2768,65-74,2792,99.14040114613181
21W33,12041,75-84,1673,75-84,1721,97.21092388146427
21W33,12041,85+,809,85+,859,94.17927823050059
21W33,13001,0-17,805,0-17,2584,31.153250773993808
21W33,13001,35-44,1468,35-44,1669,87.95686039544637
21W33,13001,45-54,1710,45-54,1970,86.80203045685279
21W33,13001,55-64,1776,55-64,1876,94.66950959488273
21W33,13001,65-74,1349,65-74,1375,98.10909090909091
21W33,13001,75-84,866,75-84,887,97.63246899661782
21W33,13001,85+,289,85+,315,91.74603174603175
21W33,13002,0-17,146,0-17,597,24.45561139028476
21W33,13002,35-44,255,35-44,335,76.11940298507463
21W33,13002,45-54,336,45-54,382,87.95811518324608
21W33,13002,55-64,364,55-64,400,91.0
21W33,13002,65-74,301,65-74,303,99.33993399339934
21W33,13002,75-84,229,75-84,234,97.86324786324786
21W33,13002,85+,52,85+,55,94.54545454545455
21W33,13003,0-17,1363,0-17,4404,30.949137148047228
21W33,13003,35-44,2881,35-44,3130,92.04472843450479
21W33,13003,45-54,3025,45-54,3305,91.52798789712557
21W33,13003,55-64,3214,55-64,3248,98.95320197044335
21W33,13003,65-74,2350,65-74,2395,98.12108559498957
21W33,13003,75-84,1411,75-84,1458,96.77640603566529
21W33,13003,85+,580,85+,599,96.8280467445743
21W33,13004,0-17,1127,0-17,3543,31.809201241885408
21W33,13004,35-44,2117,35-44,2309,91.6847119965353
21W33,13004,45-54,2471,45-54,2620,94.31297709923665
21W33,13004,55-64,2505,55-64,2597,96.45745090489025
21W33,13004,65-74,1813,65-74,1839,98.58618814573137
21W33,13004,75-84,1163,75-84,1162,100.08605851979345
21W33,13004,85+,430,85+,422,101.89573459715639
21W33,13006,0-17,659,0-17,1856,35.50646551724138
21W33,13006,35-44,1192,35-44,1264,94.30379746835443
21W33,13006,45-54,1224,45-54,1361,89.9338721528288
21W33,13006,55-64,1367,55-64,1372,99.63556851311954
21W33,13006,65-74,978,65-74,993,98.48942598187311
21W33,13006,75-84,644,75-84,647,99.53632148377125
21W33,13006,85+,263,85+,278,94.60431654676259
21W33,13008,0-17,2236,0-17,7512,29.76570820021299
21W33,13008,35-44,4891,35-44,5418,90.27316352897748
21W33,13008,45-54,5318,45-54,5808,91.5633608815427
21W33,13008,55-64,5706,55-64,5866,97.27241732015001
21W33,13008,65-74,4380,65-74,4455,98.31649831649831
21W33,13008,75-84,2524,75-84,2550,98.98039215686275
21W33,13008,85+,1060,85+,1111,95.4095409540954
21W33,13010,0-17,603,0-17,1796,33.57461024498886
21W33,13010,35-44,1237,35-44,1300,95.15384615384616
21W33,13010,45-54,1575,45-54,1741,90.46524985640437
21W33,13010,55-64,1756,55-64,1822,96.37760702524699
21W33,13010,65-74,1392,65-74,1385,100.50541516245487
21W33,13010,75-84,748,75-84,754,99.20424403183024
21W33,13010,85+,269,85+,288,93.40277777777777
21W33,13011,0-17,1474,0-17,4721,31.222198686718915
21W33,13011,35-44,3219,35-44,3575,90.04195804195804
21W33,13011,45-54,3536,45-54,3941,89.72342045166201
21W33,13011,55-64,4376,55-64,4497,97.30931732265955
21W33,13011,65-74,3086,65-74,3141,98.2489652976759
21W33,13011,75-84,1924,75-84,1990,96.68341708542714
21W33,13011,85+,890,85+,925,96.21621621621621
21W33,13012,0-17,547,0-17,1582,34.576485461441216
21W33,13012,35-44,1039,35-44,1107,93.85727190605239
21W33,13012,45-54,1188,45-54,1243,95.57522123893806
21W33,13012,55-64,1441,55-64,1475,97.69491525423729
21W33,13012,65-74,1029,65-74,1034,99.5164410058027
21W33,13012,75-84,658,75-84,673,97.77117384843982
21W33,13012,85+,278,85+,287,96.86411149825784
21W33,13013,0-17,881,0-17,2512,35.07165605095541
21W33,13013,35-44,1704,35-44,1845,92.35772357723577
21W33,13013,45-54,1906,45-54,2064,92.34496124031008
21W33,13013,55-64,2281,55-64,2356,96.81663837011885
21W33,13013,65-74,1694,65-74,1670,101.437125748503
21W33,13013,75-84,1064,75-84,1106,96.20253164556962
21W33,13013,85+,475,85+,504,94.24603174603175
21W33,13014,0-17,1116,0-17,4153,26.87214062123766
21W33,13014,35-44,2167,35-44,2603,83.25009604302727
21W33,13014,45-54,2535,45-54,2981,85.03857765850385
21W33,13014,55-64,2864,55-64,3075,93.13821138211382
21W33,13014,65-74,2296,65-74,2318,99.0509059534081
21W33,13014,75-84,1395,75-84,1422,98.10126582278481
21W33,13014,85+,442,85+,451,98.00443458980044
21W33,13016,0-17,574,0-17,1856,30.926724137931036
21W33,13016,35-44,1246,35-44,1371,90.88256746900073
21W33,13016,45-54,1496,45-54,1596,93.734335839599
21W33,13016,55-64,1621,55-64,1619,100.12353304508956
21W33,13016,65-74,1071,65-74,1091,98.16681943171402
21W33,13016,75-84,678,75-84,666,101.8018018018018
21W33,13016,85+,280,85+,297,94.27609427609427
21W33,13017,0-17,1094,0-17,3358,32.57891602144134
21W33,13017,35-44,1936,35-44,2139,90.50958391771856
21W33,13017,45-54,2437,45-54,2661,91.58211198797444
21W33,13017,55-64,3062,55-64,3129,97.85874081176095
21W33,13017,65-74,2174,65-74,2154,100.92850510677809
21W33,13017,75-84,1261,75-84,1279,98.59265050820954
21W33,13017,85+,581,85+,583,99.65694682675814
21W33,13019,0-17,1020,0-17,3058,33.355134074558535
21W33,13019,35-44,1883,35-44,2054,91.67478091528724
21W33,13019,45-54,2218,45-54,2477,89.54380298748487
21W33,13019,55-64,2676,55-64,2691,99.44258639910814
21W33,13019,65-74,1891,65-74,1888,100.15889830508475
21W33,13019,75-84,913,75-84,928,98.38362068965517
21W33,13019,85+,403,85+,405,99.50617283950618
21W33,13021,0-17,556,0-17,1907,29.155742003146305
21W33,13021,35-44,1245,35-44,1366,91.14202049780381
21W33,13021,45-54,1341,45-54,1469,91.286589516678
21W33,13021,55-64,1484,55-64,1556,95.37275064267352
21W33,13021,65-74,1212,65-74,1175,103.14893617021276
21W33,13021,75-84,668,75-84,683,97.80380673499268
21W33,13021,85+,257,85+,292,88.01369863013699
21W33,13023,0-17,596,0-17,1635,36.452599388379205
21W33,13023,35-44,944,35-44,1060,89.05660377358491
21W33,13023,45-54,1095,45-54,1184,92.48310810810811
21W33,13023,55-64,1356,55-64,1377,98.47494553376906
21W33,13023,65-74,974,65-74,999,97.49749749749749
21W33,13023,75-84,462,75-84,458,100.87336244541484
21W33,13023,85+,173,85+,177,97.74011299435028
21W33,13025,0-17,2148,0-17,6943,30.937635028085843
21W33,13025,35-44,4369,35-44,4750,91.97894736842105
21W33,13025,45-54,4670,45-54,5136,90.92679127725857
21W33,13025,55-64,5332,55-64,5525,96.50678733031674
21W33,13025,65-74,4050,65-74,4056,99.85207100591715
21W33,13025,75-84,2443,75-84,2528,96.6376582278481
21W33,13025,85+,1040,85+,1084,95.9409594095941
21W33,13029,0-17,805,0-17,2405,33.471933471933475
21W33,13029,35-44,1596,35-44,1688,94.54976303317535
21W33,13029,45-54,1665,45-54,1794,92.80936454849498
21W33,13029,55-64,1858,55-64,1920,96.77083333333333
21W33,13029,65-74,1350,65-74,1327,101.73323285606631
21W33,13029,75-84,764,75-84,767,99.60886571056062
21W33,13029,85+,301,85+,310,97.09677419354838
21W33,13031,0-17,774,0-17,2736,28.289473684210527
21W33,13031,35-44,1558,35-44,1695,91.91740412979351
21W33,13031,45-54,1767,45-54,1920,92.03125
21W33,13031,55-64,1973,55-64,2008,98.25697211155378
21W33,13031,65-74,1695,65-74,1769,95.8168456755229
21W33,13031,75-84,1028,75-84,1021,100.68560235063663
21W33,13031,85+,374,85+,398,93.96984924623115
21W33,13035,0-17,748,0-17,2859,26.16299405386499
21W33,13035,35-44,1433,35-44,1632,87.80637254901961
21W33,13035,45-54,1889,45-54,2271,83.17921620431528
21W33,13035,55-64,2192,55-64,2406,91.10556940980881
21W33,13035,65-74,1604,65-74,1655,96.91842900302115
21W33,13035,75-84,972,75-84,976,99.59016393442623
21W33,13035,85+,309,85+,359,86.0724233983287
21W33,13036,0-17,713,0-17,2219,32.13159080666967
