name,date_time,n_baseline,n_crisis,percent_change
Tournai,2020-06-09,38564.008403727,37445,-0.029016911105611443
Neufchâteau,2020-06-09,15423.501060854,15488,0.004181861102191867
Kortrijk,2020-06-09,78361.42225778001,77157,-0.0153700918523136
Dendermonde,2020-06-09,52958.441005816,53227,0.005071127266652489
Thuin,2020-06-09,37114.75,36311,-0.021655810695208777
Gent,2020-06-09,150034.102156507,146808,-0.021502459175192792
Oudenaarde,2020-06-09,29585.3333333334,29851,0.008979674613544937
Sint-Niklaas,2020-06-09,69427.94453601801,68584,-0.012155689494454022
Philippeville,2020-06-09,15824.499999999898,15818,-0.00041075547410017243
Mons,2020-06-09,68030.152443871,65543,-0.03655956005571288
Veurne,2020-06-09,15485.9075103545,16198,0.04598325859620214
Dinant,2020-06-09,26914.6666666667,27237,0.011976122064796108
Soignies,2020-06-09,47488.955028516,46771,-0.015118358112636617
Eeklo,2020-06-09,22502.1666666667,22719,0.009636109115416992
Virton,2020-06-09,12442.6666666667,12549,0.008545863694810793
Diksmuide,2020-06-09,13187.25,13133,-0.004113822062977497
Arlon,2020-06-09,17164.0997446965,17170,0.00034375559401663114
Liège,2020-06-09,164506.480340156,157887,-0.04023841690897931
Mechelen,2020-06-09,82637.17511028,82509,-0.0015510587106705145
Brussel Hoofdstad,2020-06-10,302973.975268105,277640,-0.08361766137070577
Eeklo,2020-06-10,22525.8333333334,22743,0.009640782804924633
Aalst,2020-06-10,75820.797788535,75962,0.0018623150320683393
Sint-Niklaas,2020-06-10,69255.71766461,68697,-0.00806745902649862
Tongeren,2020-06-10,54339.75,54740,0.007365694542208972
Neufchâteau,2020-06-10,15393.453262170799,15567,0.011274061438552595
Dinant,2020-06-10,26893.951575259598,27335,0.01639953963277502
Huy,2020-06-10,27973.5000000003,28311,0.012064990079886253
Nivelles,2020-06-10,89819.064311451,89009,-0.009018846028523226
Marche-en-Famenne,2020-06-10,14943.698122087299,15335,0.026185076459376802
Tielt,2020-06-10,24697.249999999898,24548,-0.006043182945465538
Waremme,2020-06-10,19872.250000000102,20092,0.011058133829832908
Dendermonde,2020-06-10,53105.708333334,53041,-0.001218481691795475
Diksmuide,2020-06-10,13152.083333333401,13213,0.004631712339611477
Hasselt,2020-06-10,118809.195215615,116920,-0.015901085872911436
Charleroi,2020-06-10,117603.171662079,113533,-0.034609369837186266
Oostende,2020-06-10,43563.866304976,45887,0.0533270779677938
Gent,2020-06-10,150532.916666667,146422,-0.02730908799017046
Thuin,2020-06-10,36680.781390339,36277,-0.01100798224667444
Soignies,2020-06-10,47539.379172719,47021,-0.010904205770875404
Halle-Vilvoorde,2020-06-10,146985.627979859,144668,-0.015767718325335786
Oudenaarde,2020-06-10,29573.2499999997,30006,0.014633156653404773
Philippeville,2020-06-10,15744.0667465091,15742,-0.00013127145243826098
Brugge,2020-06-10,75926.341640135,75431,-0.006523976125212875
Antwerpen,2020-06-10,262569.078608432,258654,-0.014910661335985283
Arlon,2020-06-10,16993.601454261,17087,0.0054961007524147835
Leuven,2020-06-10,113400.07081424602,112748,-0.005750179956361223
Verviers,2020-06-10,59103.607833117,58417,-0.011617020657278359
Mouscron,2020-06-10,21914.2463129831,21622,-0.013335905274093767
Turnhout,2020-06-10,117043.98596373,117879,0.007134190017492749
Mons,2020-06-10,68289.834502815,65316,-0.0435472501063452
Kortrijk,2020-06-10,78376.43913013401,77196,-0.015061147753523733
Veurne,2020-06-10,15397.1496999462,16363,0.06272916214207978
Maaseik,2020-06-10,58719.617205657996,58608,-0.0019008503626151234
Roeselare,2020-06-10,43110.639272088,42834,-0.006416960563772322
Liège,2020-06-10,165199.234195838,157814,-0.04470501471624906
Bastogne,2020-06-10,11644.7755866581,11697,0.004484793455507762
Namur,2020-06-10,79075.96227361,77007,-0.0261642377041357
Ath,2020-06-10,21470.4851861801,21483,0.0005828845371391775
Ieper,2020-06-10,27044.5254621561,27181,0.0050462907191650115
Tournai,2020-06-10,38698.524748667,37443,-0.03244373672694707
Mechelen,2020-06-10,82481.032684485,82777,0.003588307588814495
Virton,2020-06-10,12383.997534274898,12452,0.005491156271381085
Veurne,2020-06-11,15417.909403622201,16463,0.06778419622392325
Leuven,2020-06-11,112796.610369947,111016,-0.015786027293790153
Roeselare,2020-06-11,42974.416406589,42554,-0.009782946267643559
Waremme,2020-06-11,19732.9883186526,19764,0.0015715653831349854
Dinant,2020-06-11,26794.6495207604,27159,0.013597881881504145
Aalst,2020-06-11,75311.67266880699,74979,-0.004417278982369203
Verviers,2020-06-11,58939.368107094,58410,-0.008981570792074456
Dendermonde,2020-06-11,52868.436826553,52462,-0.0076877027381461694
Mons,2020-06-11,68100.900895634,64646,-0.05073208797822957
Oudenaarde,2020-06-11,29483.172588025198,29773,0.009830265420367874
Soignies,2020-06-11,47332.17801512701,46263,-0.022588819276081182
Philippeville,2020-06-11,15705.513888888901,15793,0.00557040742060608
Virton,2020-06-11,12307.4937889982,12398,0.007353748257236998
Gent,2020-06-11,150350.083333334,144424,-0.03941523145148896
Arlon,2020-06-11,17062.2449019883,17192,0.007604808086922991
