date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-11-17 0000,Wiltz,Wiltz,955,1094.8,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-17 0000,Esch-sur-Alzette,Capellen,27,17.0,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-11-17 0000,Neufchâteau,Neufchâteau,244,254.0,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-17 0000,Marche-en-Famenne,Marche-en-Famenne,602,576.6,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-17 0800,Trier-Saarburg,Trier-Saarburg,1894,2580.6,49.696535167735995,6.695377539178799,49.696535167735995,6.695377539178799
2020-11-17 0800,Merzig-Wadern,Merzig-Wadern,1231,1490.8,49.495883763829,6.6805543204747,49.495883763829,6.6805543204747
2020-11-17 0800,Trier-Saarburg,Trier,42,11.6,49.696535167735995,6.695377539178799,49.762781847047,6.6556081013759005
2020-11-17 0800,Saarlouis,Saarlouis,14,24.6,49.355396178189004,6.7754906297741995,49.355396178189004,6.7754906297741995
2020-11-17 0800,Trier,Trier-Saarburg,18,11.4,49.762781847047,6.6556081013759005,49.696535167735995,6.695377539178799
2020-11-17 0800,Vulkaneifel,Vulkaneifel,105,144.4,50.238281624738995,6.748623720576,50.238281624738995,6.748623720576
2020-11-17 0800,Diekirch,Diekirch,1745,2218.2,49.86111802693,6.1316698751135,49.86111802693,6.1316698751135
2020-11-17 0800,Eifelkreis-Bitburg-Prüm,Eifelkreis-Bitburg-Prüm,2453,3119.0,50.06209665165,6.4102003124805,50.06209665165,6.4102003124805
2020-11-17 0800,Marche-en-Famenne,Marche-en-Famenne,499,563.0,50.230098481644,5.4993210277722,50.230098481644,5.4993210277722
2020-11-17 0800,Moselle,Moselle,3431,4867.0,49.037552167624,6.6613465360915995,49.037552167624,6.6613465360915995
2020-11-17 0800,Luxembourg,Esch-sur-Alzette,142,44.8,49.617167595459996,6.1698185880195995,49.522074327795,6.0254361757286
2020-11-17 0800,Luxembourg,Luxembourg,10951,10184.6,49.617167595459996,6.1698185880195995,49.617167595459996,6.1698185880195995
2020-11-17 0800,Trier,Trier,1456,1670.8,49.762781847047,6.6556081013759005,49.762781847047,6.6556081013759005
2020-11-17 0800,Mersch,Mersch,1415,1917.2,49.756366536944,6.1166859462950995,49.756366536944,6.1166859462950995
2020-11-17 0800,Echternach,Echternach,619,932.2,49.787048814884,6.3757679255438,49.787048814884,6.3757679255438
2020-11-17 0800,Meuse,Meuse,46,69.2,48.991195748057,5.3813854183080005,48.991195748057,5.3813854183080005
2020-11-17 0800,Remich,Remich,680,1030.0,49.546659467553,6.3132587076895,49.546659467553,6.3132587076895
2020-11-17 0800,Vianden,Vianden,228,362.4,49.929415325753006,6.160849578033201,49.929415325753006,6.160849578033201
2020-11-17 0800,Verviers,Verviers,498,593.4,50.46421316125,6.022040567855201,50.46421316125,6.022040567855201
2020-11-17 0800,Neufchâteau,Neufchâteau,166,237.2,49.910928577947,5.2937415330724,49.910928577947,5.2937415330724
2020-11-17 0800,Clervaux,Clervaux,866,1177.8,50.065104642356005,6.0130325647522,50.065104642356005,6.0130325647522
2020-11-17 0800,Esch-sur-Alzette,Luxembourg,818,90.6,49.522074327795,6.0254361757286,49.617167595459996,6.1698185880195995
2020-11-17 0800,Esch-sur-Alzette,Esch-sur-Alzette,10676,13445.6,49.522074327795,6.0254361757286,49.522074327795,6.0254361757286
2020-11-17 0800,Capellen,Capellen,2018,2611.6,49.640456129419,5.9634696225832,49.640456129419,5.9634696225832
2020-11-17 0800,Moselle,Meurthe-et-Moselle,13,13.2,49.037552167624,6.6613465360915995,48.788772923342,6.161935534586201
2020-11-17 0800,Arlon,Arlon,3311,4505.2,49.679280516079,5.779684440694799,49.679280516079,5.779684440694799
2020-11-17 0800,Capellen,Esch-sur-Alzette,21,11.2,49.640456129419,5.9634696225832,49.522074327795,6.0254361757286
2020-11-17 0800,Wiltz,Wiltz,809,1065.4,49.93671959327,5.910789790791099,49.93671959327,5.910789790791099
2020-11-17 0800,Esch-sur-Alzette,Capellen,53,13.0,49.522074327795,6.0254361757286,49.640456129419,5.9634696225832
2020-11-17 0800,Redange,Redange,750,1163.6,49.799144752519,5.8885422366937,49.799144752519,5.8885422366937
