date_time,start_name,end_name,n_crisis,n_baseline,start_lat,start_lon,end_lat,end_lon
2020-06-11 1600,Tielt,Roeselare,26,32.2,50.999822739041996,3.3128638139388995,50.940243152523,3.1167142695792998
2020-06-11 1600,Mouscron,Tournai,55,52.0,50.745555138017,3.0579233029126,50.615166550698994,3.4487209667789
2020-06-11 1600,Oudenaarde,Kortrijk,21,16.4,50.832901719028996,3.6380644903662995,50.82022156745,3.3180857192644
2020-06-11 1600,Kortrijk,Mouscron,33,45.8,50.82022156745,3.3180857192644,50.745555138017,3.0579233029126
2020-06-11 1600,Gent,Kortrijk,40,30.2,51.060636817492,3.664133655134,50.82022156745,3.3180857192644
2020-06-11 1600,Tournai,Ath,15,42.8,50.615166550698994,3.4487209667789,50.625759986372,3.7128365239822
2020-06-11 1600,Roeselare,Diksmuide,21,14.0,50.940243152523,3.1167142695792998,51.021583806801004,2.8812779469993997
2020-06-11 1600,Roeselare,Ieper,15,15.8,50.940243152523,3.1167142695792998,50.849764103678,2.851607768751
2020-06-11 1600,Marche-en-Famenne,Dinant,41,22.6,50.230098481644,5.4993210277722,50.165721357011,5.025524866132099
2020-06-11 1600,Hasselt,Tongeren,170,199.2,50.953936542609995,5.284252578166099,50.837364003409995,5.516476310249599
2020-06-11 1600,Brugge,Roeselare,14,33.2,51.203015581247996,3.2204347794965,50.940243152523,3.1167142695792998
2020-06-11 1600,Huy,Liège,32,37.0,50.495134562436,5.3390395617084,50.61346769586601,5.6077711552607
2020-06-11 1600,Roeselare,Brugge,16,19.8,50.940243152523,3.1167142695792998,51.203015581247996,3.2204347794965
2020-06-11 1600,Maaseik,Hasselt,35,28.4,51.139464185368006,5.5153499054274,50.953936542609995,5.284252578166099
2020-06-11 1600,Brugge,Diksmuide,22,24.6,51.203015581247996,3.2204347794965,51.021583806801004,2.8812779469993997
2020-06-11 1600,Hasselt,Maaseik,99,121.0,50.953936542609995,5.284252578166099,51.139464185368006,5.5153499054274
2020-06-11 1600,Kortrijk,Ieper,84,79.8,50.82022156745,3.3180857192644,50.849764103678,2.851607768751
2020-06-11 1600,Gent,Tielt,17,20.8,51.060636817492,3.664133655134,50.999822739041996,3.3128638139388995
2020-06-11 1600,Roeselare,Kortrijk,54,47.8,50.940243152523,3.1167142695792998,50.82022156745,3.3180857192644
2020-06-11 1600,Turnhout,Hasselt,32,21.6,51.250102901016,4.9504212151206,50.953936542609995,5.284252578166099
2020-06-11 1600,Leuven,Hasselt,59,68.4,50.890293562369,4.848512572479,50.953936542609995,5.284252578166099
2020-06-11 1600,Namur,Huy,16,22.6,50.461040076585995,4.8507636825948,50.495134562436,5.3390395617084
2020-06-11 1600,Namur,Dinant,35,52.8,50.461040076585995,4.8507636825948,50.165721357011,5.025524866132099
2020-06-11 1600,Turnhout,Mechelen,15,15.0,51.250102901016,4.9504212151206,51.074751304095,4.526195057761901
2020-06-11 1600,Turnhout,Antwerpen,25,56.0,51.250102901016,4.9504212151206,51.280587359548996,4.5060116242207
2020-06-11 1600,Ieper,Mouscron,10,13.8,50.849764103678,2.851607768751,50.745555138017,3.0579233029126
2020-06-11 1600,Arlon,Virton,54,52.8,49.679280516079,5.779684440694799,49.665627535954,5.4889092788252
2020-06-11 1600,Oudenaarde,Ath,26,17.4,50.832901719028996,3.6380644903662995,50.625759986372,3.7128365239822
2020-06-11 1600,Tongeren,Maaseik,46,22.6,50.837364003409995,5.516476310249599,51.139464185368006,5.5153499054274
2020-06-12 0000,Halle-Vilvoorde,Aalst,28,13.0,50.851079717566,4.2727091172415,50.874955561564,3.9487262485012002
2020-06-12 0000,Soignies,Charleroi,67,15.8,50.597665082065,4.0451164078224,50.458216902291,4.4152261614461
2020-06-12 0000,Sint-Niklaas,Mechelen,26,22.4,51.195034590373,4.143062838623,51.074751304095,4.526195057761901
2020-06-12 0000,Brussel Hoofdstad,Gent,16,10.0,50.836020816469,4.3707068069884,51.060636817492,3.664133655134
2020-06-12 0000,Charleroi,Soignies,46,27.4,50.458216902291,4.4152261614461,50.597665082065,4.0451164078224
2020-06-12 0000,Gent,Eeklo,35,24.2,51.060636817492,3.664133655134,51.220134592101005,3.590890147859
2020-06-12 0000,Eeklo,Gent,69,40.4,51.220134592101005,3.590890147859,51.060636817492,3.664133655134
2020-06-12 0000,Tielt,Kortrijk,30,11.4,50.999822739041996,3.3128638139388995,50.82022156745,3.3180857192644
2020-06-12 0000,Mouscron,Kortrijk,19,11.4,50.745555138017,3.0579233029126,50.82022156745,3.3180857192644
2020-06-12 0000,Tongeren,Maaseik,16,10.6,50.837364003409995,5.516476310249599,51.139464185368006,5.5153499054274
2020-06-12 0000,Brugge,Oostende,24,12.0,51.203015581247996,3.2204347794965,51.176698232275,2.9528867082907997
2020-06-12 0000,Maaseik,Hasselt,22,14.8,51.139464185368006,5.5153499054274,50.953936542609995,5.284252578166099
2020-06-12 0000,Tongeren,Hasselt,50,17.4,50.837364003409995,5.516476310249599,50.953936542609995,5.284252578166099
2020-06-12 0000,Ieper,Kortrijk,37,18.8,50.849764103678,2.851607768751,50.82022156745,3.3180857192644
2020-06-12 0000,Turnhout,Antwerpen,19,11.6,51.250102901016,4.9504212151206,51.280587359548996,4.5060116242207
2020-06-12 0000,Antwerpen,Turnhout,18,14.8,51.280587359548996,4.5060116242207,51.250102901016,4.9504212151206
2020-06-12 0000,Leuven,Brussel Hoofdstad,15,14.0,50.890293562369,4.848512572479,50.836020816469,4.3707068069884
2020-06-12 0000,Thuin,Soignies,25,20.6,50.212453892481,4.258712821324,50.597665082065,4.0451164078224
2020-06-12 0000,Mechelen,Antwerpen,69,40.0,51.074751304095,4.526195057761901,51.280587359548996,4.5060116242207
2020-06-12 0000,Oostende,Brugge,41,25.6,51.176698232275,2.9528867082907997,51.203015581247996,3.2204347794965
